City/Town,Ward,Pct,"William H. Sorrell","Karen Kerin","Charlotte Dennett","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
Waterville,,,228,51,39,2,2,0,322
Weathersfield,,,909,396,97,29,0,0,"1,431"
Wells,,,261,206,26,27,0,0,520
"W. Fairlee",,,190,69,26,9,1,0,295
"W. Haven",,,73,44,6,3,1,0,127
"W. Rutland",,,668,255,43,53,2,0,"1,021"
"W. Windsor",,,425,171,25,9,0,0,630
Westfield,,,207,50,14,10,1,0,282
Westford,,,810,165,89,4,1,0,"1,069"
Westminster,-,"Windham 4",67,15,5,4,0,0,91
Westminster,-,"Windham 5","1,072",220,139,46,0,0,"1,477"
Westmore,,,140,47,12,6,1,0,206
Weston,,,255,98,17,15,0,0,385
Weybridge,,,446,61,20,7,0,0,534
Wheelock,,,223,99,17,8,0,0,347
Whiting,,,153,31,11,6,0,0,201
Whitingham,,,319,190,38,47,91,0,685
Williamstown,,,"1,043",328,70,26,6,0,"1,473"
Williston,,,"3,763",762,188,39,3,0,"4,755"
Wilmington,,,621,250,72,78,0,0,"1,021"
Windham,,,143,48,20,6,0,0,217
Windsor,,,"1,088",358,78,41,8,0,"1,573"
Winhall,,,276,158,16,25,0,0,475
Winooski,,,"2,100",265,185,44,3,0,"2,597"
Wolcott,,,557,120,59,10,1,0,747
Woodbury,,,331,87,65,17,0,0,500
Woodford,,,112,30,7,35,0,0,184
Woodstock,,,"1,296",419,63,35,1,0,"1,814"
Worcester,,,401,73,62,11,0,0,547
TOTALS,,,"214,980","55,268","17,730","7,505",544,0,"296,027"
