City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
Montgomery,,,26,0,0,26
Montpelier,,,"1,102",4,0,"1,106"
Moretown,,,47,1,0,48
Morgan,,,20,0,0,20
Morristown,,,81,2,0,83
"Mount Holly",,,61,1,0,62
"Mount Tabor",,,12,0,0,12
"New Haven",,,46,0,0,46
Newark,,,19,0,0,19
Newbury,-,"Center Town House",53,0,0,53
Newbury,-,"Town Office",16,0,0,16
Newbury,-,"West River Village",25,0,0,25
Newfane,,,59,1,0,60
"Newport City",,,61,1,0,62
"Newport Town",,,27,0,0,27
"N. Hero",,,25,0,0,25
Northfield,,,140,0,0,140
Norton,,,4,0,0,4
Norwich,,,235,0,0,235
Orange,,,7,2,0,9
Orwell,,,34,0,0,34
Panton,,,12,0,0,12
Pawlet,,,51,0,0,51
Peacham,,,75,0,0,75
Peru,,,22,0,0,22
Pittsfield,,,15,0,0,15
Pittsford,,,61,0,0,61
Plainfield,,,56,0,0,56
Plymouth,,,15,0,0,15
Pomfret,,,43,0,0,43
Poultney,,,42,0,0,42
Pownal,,,81,2,0,83
Proctor,,,53,1,0,54
Putney,,,414,0,0,414
Randolph,,,165,3,0,168
Reading,,,34,0,0,34
Readsboro,,,25,0,0,25
Richford,,,47,0,0,47
Richmond,,,299,0,0,299
Ripton,,,40,0,0,40
Rochester,,,73,2,0,75
Rockingham,,,221,1,0,222
Roxbury,,,28,0,0,28
Royalton,,,58,0,0,58
Rupert,,,38,0,0,38
"Rutland City",-,"Rutland 5-1",123,0,0,123
"Rutland City",-,"Rutland 5-2",110,0,0,110
"Rutland City",-,"Rutland 5-3",59,1,0,60
"Rutland City",-,"Rutland 5-4",68,0,0,68
"Rutland Town",,,359,1,0,360
Ryegate,,,35,0,0,35
Salisbury,,,26,0,0,26
Sandgate,,,24,0,0,24
Searsburg,,,4,0,0,4
Shaftsbury,,,136,0,0,136
Sharon,,,38,0,0,38
Sheffield,,,11,0,0,11
Shelburne,-,"Chittenden 5-1",215,0,0,215
Shelburne,-,"Chittenden 5-2",99,1,0,100
Sheldon,,,41,0,0,41
Shoreham,,,38,0,0,38
Shrewsbury,,,151,0,0,151
"S. Burlington",-,"Chittenden 3-10",138,0,0,138
"S. Burlington",-,"Chittenden 3-7",170,0,0,170
"S. Burlington",-,"Chittenden 3-8",193,0,0,193
"S. Burlington",-,"Chittenden 3-9",137,0,0,137
"S. Hero",,,53,0,0,53
Springfield,-,"Windsor 1-1",1,0,0,1
Springfield,-,"Windsor 1-2",814,2,0,816
"St. Albans City",,,119,1,0,120
"St. Albans Town",,,180,3,0,183
"St. George",,,81,2,0,83
"St. Johnsbury",,,135,0,0,135
Stamford,,,35,0,0,35
Stannard,,,12,0,0,12
Starksboro,,,58,0,0,58
Stockbridge,,,32,1,0,33
Stowe,,,43,1,0,44
Strafford,,,54,0,0,54
Stratton,,,4,0,0,4
Sudbury,,,20,0,0,20
Sunderland,,,19,0,0,19
Sutton,,,11,0,0,11
Swanton,,,121,3,0,124
Thetford,,,87,0,0,87
Tinmouth,,,63,0,0,63
Topsham,,,21,0,0,21
Townshend,,,58,1,0,59
Troy,,,24,0,0,24
Tunbridge,,,45,0,0,45
Underhill,,,145,0,0,145
Vergennes,,,40,0,0,40
Vernon,,,50,0,0,50
Vershire,,,29,2,0,31
Victory,,,4,0,0,4
Waitsfield,,,78,0,0,78
Walden,,,25,0,0,25
Wallingford,,,133,0,0,133
Waltham,,,7,0,0,7
Wardsboro,,,20,0,0,20
Warren,,,57,0,0,57
Washington,,,17,0,0,17
Waterbury,,,324,0,0,324
Waterford,,,10,0,0,10
Waterville,,,4,0,0,4
Weathersfield,,,83,2,0,85
Wells,,,18,0,0,18
"W. Fairlee",,,26,0,0,26
"W. Haven",,,5,0,0,5
"W. Rutland",,,70,0,0,70
"W. Windsor",,,39,1,0,40
Westfield,,,13,0,0,13
Westford,,,47,2,0,49
Westminster,-,"Windham 4",13,0,0,13
Westminster,-,"Windham 5",387,0,0,387
Westmore,,,15,0,0,15
Weston,,,34,0,0,34
Weybridge,,,33,0,0,33
Wheelock,,,17,0,0,17
Whiting,,,17,0,0,17
Whitingham,,,36,1,0,37
Williamstown,,,24,1,0,25
Williston,,,191,0,0,191
Wilmington,,,50,0,0,50
Windham,,,30,0,0,30
Windsor,,,87,1,0,88
Winhall,,,14,0,0,14
Winooski,,,116,0,0,116
Wolcott,,,57,0,0,57
Woodbury,,,48,0,0,48
Woodford,,,13,0,0,13
Woodstock,,,152,0,0,152
Worcester,,,57,0,0,57
TOTALS,,,"20,345",96,0,"20,441"
