City/Town,Ward,Pct,"Jim Condos","Mary Alice ""Mal"" Herbert",Write-Ins,Blanks,"Total Votes Cast"
"Newport City",,,"1,280",140,4,141,"1,566"
"Newport Town",,,560,64,1,85,711
"N. Hero",,,556,36,0,42,634
Northfield,,,"1,809",188,3,250,"2,250"
Norton,,,69,9,0,8,86
Norwich,,,"1,913",127,3,289,"2,333"
Orange,,,446,52,0,50,549
Orwell,,,536,58,1,69,664
Panton,,,306,20,0,21,348
Pawlet,,,588,89,0,88,765
Peacham,,,401,36,2,43,482
Peru,,,180,24,1,34,239
Pittsfield,,,232,35,0,28,295
Pittsford,,,"1,217",133,6,211,"1,570"
Plainfield,,,549,57,0,78,685
Plymouth,,,263,33,3,55,354
Pomfret,,,505,53,0,40,598
Poultney,,,"1,112",172,5,171,"1,460"
Pownal,,,"1,177",260,2,214,"1,653"
Proctor,,,707,75,1,78,861
Putney,,,882,314,1,131,"1,329"
Randolph,,,"1,802",243,4,248,"2,297"
Reading,,,290,36,0,52,382
Readsboro,,,276,53,0,57,387
Richford,,,677,106,1,62,846
Richmond,,,"2,145",158,3,258,"2,564"
Ripton,,,277,23,0,37,337
Rochester,,,504,70,1,78,655
Rockingham,,,"1,542",373,3,256,"2,180"
Roxbury,,,300,37,0,48,385
Royalton,,,"1,017",146,4,181,"1,348"
Rupert,,,320,38,0,39,398
"Rutland City",-,"Rutland 5-1","1,746",191,10,332,"2,279"
"Rutland City",-,"Rutland 5-2","1,452",182,14,213,"1,861"
"Rutland City",-,"Rutland 5-3","1,004",185,13,155,"1,357"
"Rutland City",-,"Rutland 5-4","1,304",175,7,198,"1,684"
"Rutland Town",,,"1,881",164,3,272,"2,320"
Ryegate,,,472,49,1,47,571
Salisbury,,,463,50,0,50,563
Sandgate,,,161,27,0,31,219
Searsburg,,,38,14,0,7,59
Shaftsbury,,,"1,413",205,2,233,"1,853"
Sharon,,,616,75,1,73,766
Sheffield,,,217,48,1,42,308
Shelburne,-,"Chittenden 5-1","2,227",130,3,322,"2,682"
Shelburne,-,"Chittenden 5-2","1,860",108,3,234,"2,207"
Sheldon,,,699,73,2,52,826
Shoreham,,,506,60,0,93,659
Shrewsbury,,,557,48,2,63,672
"S. Burlington",-,"Chittenden 7-1","2,202",160,2,267,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,503",175,6,345,"3,037"
"S. Burlington",-,"Chittenden 7-3","2,082",190,2,272,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,902",189,2,267,"2,363"
"S. Hero",,,968,71,3,104,"1,148"
Springfield,-,"Windsor 3-1",108,32,0,14,154
Springfield,-,"Windsor 3-2","2,852",591,14,385,"3,844"
"St. Albans City",,,"2,145",220,10,166,"2,541"
"St. Albans Town",-,"Franklin 3-1",864,79,4,97,"1,044"
"St. Albans Town",-,"Franklin 3-2","1,793",146,7,183,"2,129"
"St. George",,,310,19,0,34,363
"St. Johnsbury",,,"2,499",286,4,262,"3,052"
Stamford,,,337,51,0,92,481
Stannard,,,76,10,0,17,103
Starksboro,,,761,93,3,86,943
Stockbridge,,,340,46,0,45,431
Stowe,,,"2,324",182,4,383,"2,893"
Strafford,,,578,47,0,79,705
Stratton,,,102,12,1,14,129
Sudbury,,,264,23,1,38,326
Sunderland,-,"Bennington 3",92,10,0,17,119
Sunderland,-,"Bennington 4",303,47,0,58,408
Sutton,,,378,35,0,52,465
Swanton,,,"2,293",226,12,180,"2,712"
Thetford,,,"1,328",118,5,202,"1,653"
Tinmouth,-,"Rutland 2",63,11,0,4,78
Tinmouth,-,Rutland-Bennington,176,30,1,15,222
Topsham,,,461,50,0,72,583
Townshend,,,490,114,2,88,694
Troy,-,"Orleans 2",144,14,0,15,173
Troy,-,Orleans-Lamoille,379,54,0,45,480
Tunbridge,,,583,57,1,76,718
Underhill,,,"1,640",130,1,221,"1,992"
Vergennes,,,"1,041",106,1,100,"1,250"
Vernon,,,775,197,4,165,"1,141"
Vershire,,,280,39,0,47,367
Victory,,,42,11,0,15,68
Waitsfield,,,921,91,1,121,"1,134"
Walden,,,415,53,1,58,527
Wallingford,,,882,103,2,144,"1,131"
Waltham,,,243,20,0,21,284
Wardsboro,,,300,60,1,42,403
Warren,,,865,101,0,122,"1,089"
Washington,,,429,49,1,78,557
Waterbury,,,"2,534",192,4,358,"3,088"
Waterford,,,605,57,0,80,743
Waterville,,,287,40,1,53,381
Weathersfield,,,"1,178",235,0,186,"1,599"
Wells,,,442,77,1,61,581
"W. Fairlee",,,231,37,0,37,305
"W. Haven",,,116,13,0,13,142
"W. Rutland",,,834,126,4,87,"1,051"
"W. Windsor",,,564,71,3,84,722
Westfield,,,243,33,0,30,306
Westford,,,"1,022",100,1,157,"1,281"
Westminster,-,"Windham 3",57,13,1,6,77
Westminster,-,"Windham 4","1,032",290,2,162,"1,489"
Westmore,,,175,20,0,26,221
Weston,,,335,39,0,43,417
Weybridge,,,486,33,0,48,567
Wheelock,,,302,50,2,48,404
Whiting,,,157,18,0,24,199
Whitingham,-,"Windham 6",432,91,0,98,622
Whitingham,-,Windham-Bennington,24,5,0,2,31
Williamstown,,,"1,291",130,4,144,"1,573"
Williston,,,"4,737",306,0,652,"5,709"
Wilmington,,,736,162,2,163,"1,063"
Windham,,,202,49,3,33,287
Windsor,,,"1,302",239,1,174,"1,719"
Winhall,,,396,50,1,83,531
Winooski,,,"2,424",299,2,384,"3,113"
Wolcott,,,655,80,3,72,810
Woodbury,,,437,44,0,56,537
Woodford,,,129,29,1,24,183
Woodstock,,,"1,509",160,1,241,"1,912"
Worcester,,,502,53,1,44,600
TOTALS,,,"255,201","29,711",602,"34,702","320,467"
