City/Town,Ward,Pct,"Beth Pearce","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
Charlotte,,,"1,903",286,59,0,375,"2,623"
Chelsea,,,501,60,21,3,86,672
Chester,,,"1,161",181,56,4,163,"1,565"
Chittenden,,,568,67,35,2,95,767
Clarendon,,,960,110,62,5,123,"1,262"
Colchester,-,"Chittenden 9-1","2,457",428,94,11,396,"3,389"
Colchester,-,"Chittenden 9-2","3,332",562,100,8,580,"4,591"
Concord,,,411,66,30,2,67,577
Corinth,,,480,80,50,3,75,688
Cornwall,,,594,71,11,0,71,748
Coventry,,,400,44,17,1,55,517
Craftsbury,,,471,85,26,1,114,698
Danby,,,495,59,30,0,74,658
Danville,,,"1,073",92,45,2,134,"1,348"
Derby,,,"1,681",217,73,7,246,"2,226"
Dorset,,,887,105,48,1,168,"1,209"
Dover,,,561,84,44,1,104,794
Dummerston,,,868,137,50,1,107,"1,164"
Duxbury,,,589,89,26,0,94,799
"E. Haven",,,110,8,15,1,15,149
"E. Montpelier",,,"1,285",183,32,1,130,"1,631"
Eden,,,398,73,21,0,76,568
Elmore,,,405,69,15,0,62,552
Enosburgh,,,904,185,38,0,94,"1,221"
Essex,-,"Chittenden 8-1","3,644",509,122,18,514,"4,807"
Essex,-,"Chittenden 8-2","3,802",599,133,21,568,"5,123"
Essex,-,"Chittenden 8-3","1,121",131,24,4,147,"1,427"
"Fair Haven",,,877,136,43,3,109,"1,168"
Fairfax,,,"1,817",262,113,1,229,"2,431"
Fairfield,,,736,114,24,1,86,961
Fairlee,,,407,79,27,0,59,573
Fayston,,,627,87,22,0,95,831
Ferrisburgh,,,"1,270",145,57,4,153,"1,635"
Fletcher,,,537,87,22,0,63,709
Franklin,,,501,57,18,1,60,637
Georgia,,,"1,862",257,71,11,248,"2,449"
Glover,,,452,64,29,1,53,600
Goshen,,,87,21,7,0,10,125
Grafton,,,270,39,25,0,65,399
Granby,,,30,2,3,0,8,43
"Grand Isle",,,935,120,34,5,106,"1,201"
Granville,,,107,22,6,0,14,149
Greensboro,,,322,51,12,0,45,430
Groton,,,357,51,24,0,66,498
Guildhall,,,104,16,4,0,23,148
Guilford,,,837,161,51,3,125,"1,177"
Halifax,,,286,49,22,0,80,437
Hancock,,,107,19,19,0,17,162
Hardwick,,,"1,033",183,46,1,147,"1,410"
Hartford,-,"Windsor 4-1",878,116,92,2,165,"1,254"
Hartford,-,"Windsor 4-2","2,821",461,257,8,407,"3,955"
Hartland,,,"1,367",199,162,3,218,"1,951"
Highgate,,,"1,113",142,38,5,104,"1,402"
Hinesburg,-,"Chittenden 4-1",13,3,1,0,2,19
Hinesburg,-,"Chittenden 4-2","1,935",347,80,6,319,"2,687"
Holland,,,201,41,20,0,41,303
Hubbardton,,,291,45,19,2,32,389
Huntington,,,925,177,30,1,117,"1,252"
"Hyde Park",,,"1,185",185,48,4,140,"1,562"
Ira,,,193,17,4,0,30,245
Irasburg,,,442,43,20,0,63,568
"Isle La Motte",,,212,41,14,1,42,310
Jamaica,,,384,50,23,1,58,516
Jay,,,186,24,6,0,30,246
Jericho,,,"2,556",323,84,5,374,"3,343"
Johnson,,,945,192,53,1,144,"1,335"
Killington,,,473,67,47,0,83,670
Kirby,,,207,30,4,0,25,266
Landgrove,,,80,10,2,0,13,105
Leicester,,,375,48,18,0,60,502
Lemington,,,30,17,5,0,5,57
Lincoln,,,583,117,26,0,77,803
Londonderry,,,672,118,42,1,119,953
Lowell,,,300,56,22,2,58,440
Ludlow,,,830,86,51,2,140,"1,109"
Lunenburg,,,390,57,43,2,70,562
Lyndon,,,"1,587",180,103,4,211,"2,085"
Maidstone,,,97,3,3,0,15,118
Manchester,,,"1,755",223,79,13,375,"2,446"
Marlboro,,,410,89,18,2,58,581
Marshfield,,,614,122,47,1,94,879
Mendon,,,511,54,24,3,62,654
Middlebury,,,"2,754",457,87,5,420,"3,723"
Middlesex,,,884,101,38,3,106,"1,134"
"Middletown Springs",,,354,64,18,1,0,492
Milton,-,"Chittenden 10","3,160",557,138,17,562,"4,434"
Milton,-,"Grand Isle-Chittenden",526,74,31,3,102,736
Monkton,,,911,134,43,4,136,"1,228"
Montgomery,,,439,116,34,0,77,671
Montpelier,,,"3,732",575,103,6,417,"4,834"
Moretown,,,767,113,34,0,133,"1,049"
Morgan,,,258,33,15,0,35,342
Morristown,,,"2,062",332,85,5,283,"2,767"
"Mount Holly",,,572,73,42,2,88,777
"Mount Tabor",,,67,12,4,1,10,95
"New Haven",,,857,111,30,2,98,"1,099"
Newark,,,208,28,22,2,47,307
Newbury,,,822,109,43,1,115,"1,091"
Newfane,,,711,134,46,1,124,"1,016"
"Newport City",,,"1,199",159,68,2,137,"1,566"
"Newport Town",,,508,88,22,2,89,711
"N. Hero",,,503,66,18,1,46,634
Northfield,,,"1,753",196,52,3,246,"2,250"
Norton,,,65,9,6,0,6,86
Norwich,,,"1,702",281,60,3,285,"2,333"
Orange,,,436,37,27,0,49,549
Orwell,,,497,65,28,0,74,664
Panton,,,286,30,7,0,24,348
Pawlet,,,564,94,22,0,84,765
Peacham,,,380,41,17,0,44,482
Peru,,,173,24,9,1,32,239
Pittsfield,,,218,29,22,0,26,295
Pittsford,,,"1,185",114,55,7,207,"1,570"
Plainfield,,,486,105,24,1,69,685
Plymouth,,,230,32,26,3,63,354
Pomfret,,,393,30,133,0,42,598
Poultney,,,"1,049",174,76,3,155,"1,460"
Pownal,,,"1,143",188,105,1,216,"1,653"
Proctor,,,674,70,37,0,80,861
Putney,,,889,214,62,2,161,"1,329"
Randolph,,,"1,706",212,118,4,256,"2,297"
Reading,,,262,35,33,0,48,382
Readsboro,,,230,38,54,0,65,387
Richford,,,655,89,35,1,66,846
Richmond,,,"1,911",290,65,2,294,"2,564"
Ripton,,,240,51,9,0,36,337
Rochester,,,464,78,39,0,72,655
Rockingham,,,"1,514",272,115,3,272,"2,180"
Roxbury,,,280,46,17,1,40,385
Royalton,,,940,138,109,5,156,"1,348"
Rupert,,,306,32,16,0,43,398
"Rutland City",-,"Rutland 5-1","1,743",162,75,11,287,"2,279"
"Rutland City",-,"Rutland 5-2","1,402",165,79,15,200,"1,861"
"Rutland City",-,"Rutland 5-3",980,155,66,10,146,"1,357"
"Rutland City",-,"Rutland 5-4","1,264",141,82,9,188,"1,684"
"Rutland Town",,,"1,841",144,73,5,257,"2,320"
Ryegate,,,458,51,15,1,44,571
Salisbury,,,419,67,22,1,54,563
Sandgate,,,146,28,13,0,32,219
Searsburg,,,39,8,4,0,8,59
Shaftsbury,,,"1,363",182,69,3,234,"1,853"
Sharon,,,539,77,73,3,74,766
Sheffield,,,210,39,21,1,36,308
Shelburne,-,"Chittenden 5-1","1,978",286,51,5,362,"2,682"
Shelburne,-,"Chittenden 5-2","1,699",200,43,3,260,"2,207"
Sheldon,,,646,92,30,5,52,826
Shoreham,,,496,53,19,0,91,659
Shrewsbury,,,491,70,55,1,52,672
"S. Burlington",-,"Chittenden 7-1","1,945",328,43,1,314,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,283",308,62,7,369,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,799",397,50,0,301,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,642",364,62,1,286,"2,363"
"S. Hero",,,864,130,32,2,118,"1,148"
Springfield,-,"Windsor 3-1",105,24,11,0,14,154
Springfield,-,"Windsor 3-2","2,830",429,213,8,363,"3,844"
"St. Albans City",,,"1,947",316,81,8,189,"2,541"
"St. Albans Town",-,"Franklin 3-1",808,93,34,6,103,"1,044"
"St. Albans Town",-,"Franklin 3-2","1,650",186,75,11,206,"2,129"
"St. George",,,268,47,3,0,45,363
"St. Johnsbury",,,"2,354",315,121,6,255,"3,052"
Stamford,,,316,49,26,0,89,481
Stannard,,,73,14,1,0,15,103
Starksboro,,,705,111,37,2,88,943
Stockbridge,,,326,35,30,1,39,431
Stowe,,,"2,119",301,68,7,395,"2,893"
Strafford,,,503,90,34,0,77,705
Stratton,,,100,10,6,0,13,129
Sudbury,,,250,25,16,1,34,326
Sunderland,-,"Bennington 3",83,13,4,0,19,119
Sunderland,-,"Bennington 4",281,52,13,0,62,408
Sutton,,,346,43,24,0,52,465
Swanton,,,"2,091",293,102,14,212,"2,712"
Thetford,,,"1,216",182,69,4,182,"1,653"
Tinmouth,-,"Rutland 2",60,10,4,0,4,78
Tinmouth,-,Rutland-Bennington,163,33,10,1,15,222
Topsham,,,439,46,27,0,71,583
Townshend,,,484,75,42,2,91,694
Troy,-,"Orleans 2",128,25,7,0,13,173
Troy,-,Orleans-Lamoille,355,52,23,0,50,480
Tunbridge,,,529,78,34,2,75,718
Underhill,,,"1,461",209,68,2,250,"1,992"
Vergennes,,,974,116,55,1,102,"1,250"
Vernon,,,817,95,48,6,175,"1,141"
Vershire,,,257,45,19,0,44,367
Victory,,,42,6,1,0,19,68
Waitsfield,,,833,123,39,0,139,"1,134"
Walden,,,381,50,27,2,67,527
Wallingford,,,842,109,44,7,129,"1,131"
Waltham,,,235,22,9,0,17,284
Wardsboro,,,288,39,29,0,47,403
Warren,,,757,156,45,1,129,"1,089"
Washington,,,430,35,21,1,69,557
Waterbury,,,"2,362",297,74,7,348,"3,088"
Waterford,,,577,51,37,2,76,743
Waterville,,,264,41,20,1,55,381
Weathersfield,,,"1,158",161,114,0,166,"1,599"
Wells,,,419,73,28,4,57,581
"W. Fairlee",,,215,33,23,0,34,305
"W. Haven",,,110,14,8,0,10,142
"W. Rutland",,,800,105,63,5,78,"1,051"
"W. Windsor",,,542,51,39,2,87,722
Westfield,,,222,42,10,0,32,306
Westford,,,911,143,52,1,173,"1,281"
Westminster,-,"Windham 3",52,12,7,1,5,77
Westminster,-,"Windham 4","1,049",206,72,0,161,"1,489"
Westmore,,,164,20,5,1,31,221
Weston,,,307,48,20,0,42,417
Weybridge,,,434,69,13,1,50,567
Wheelock,,,293,45,19,0,45,404
Whiting,,,148,21,1,0,0,199
Whitingham,-,"Windham 6",423,63,36,0,100,622
Whitingham,-,Windham-Bennington,22,5,2,0,2,31
Williamstown,,,"1,259",121,58,3,127,"1,573"
Williston,,,"4,321",521,126,3,727,"5,709"
Wilmington,,,723,137,51,1,151,"1,063"
Windham,,,202,33,19,1,32,287
Windsor,,,"1,219",192,129,1,176,"1,719"
Winhall,,,374,61,12,1,81,531
Winooski,,,"1,998",605,113,3,391,"3,113"
Wolcott,,,606,105,23,5,71,810
Woodbury,,,389,70,23,0,55,537
Woodford,,,121,23,10,1,28,183
Woodstock,,,"1,241",154,307,1,209,"1,912"
Worcester,,,471,76,15,1,37,600
TOTALS,,,"234,566","37,301","12,453",667,"35,187","320,467"
