City/Town,Ward,Pct,"Bernard Sanders","Karen Ann Kerin","Pete Diamondstone","Stewart Skrill","Jack Rogers","Daniel H. Krymkowski",Write-Ins,Blanks,"Total Votes Cast"
"E. Montpelier",,,"1,102",222,45,56,11,10,8,0,"1,454"
Eden,,,368,50,8,16,14,2,0,0,458
Elmore,,,346,44,18,18,2,4,0,0,432
Enosburgh,,,887,129,48,35,16,9,1,0,"1,125"
Essex,-,"Chittenden 2-1","3,287",847,170,250,44,48,40,0,"4,686"
Essex,-,"Chittenden 2-3",338,84,14,34,3,4,3,0,480
Essex,-,"Chittenden 2-4","2,900",691,136,187,40,54,30,0,"4,038"
"Fair Haven",,,731,250,40,41,55,7,2,0,"1,126"
Fairfax,,,"1,180",264,52,76,25,19,9,0,"1,625"
Fairfield,,,654,106,30,30,3,4,6,0,833
Fairlee,,,342,130,40,25,7,7,2,0,553
Fayston,,,508,121,24,11,17,9,0,0,690
Ferrisburgh,,,924,261,47,90,11,17,1,0,"1,351"
Fletcher,,,370,105,20,21,9,11,3,0,539
Franklin,,,371,103,18,25,9,7,4,0,537
Georgia,,,"1,384",373,63,62,16,22,2,0,"1,922"
Glover,,,415,74,27,12,24,5,1,0,558
Goshen,,,85,19,12,5,1,1,0,0,123
Grafton,,,194,88,30,16,5,4,1,0,338
Granby,,,23,19,5,0,3,0,0,0,50
"Grand Isle",,,810,150,36,18,5,16,7,0,"1,042"
Granville,,,111,30,5,3,6,1,0,0,156
Greensboro,,,304,73,12,9,7,10,2,0,417
Groton,,,256,109,20,70,5,3,1,0,464
Guildhall,,,62,41,8,8,3,4,0,0,126
Guilford,,,673,209,52,26,17,7,1,0,985
Halifax,,,200,110,33,19,35,5,0,0,402
Hancock,,,129,29,9,8,2,3,0,0,180
Hardwick,,,975,180,50,32,25,5,7,0,"1,274"
Hartford,-,"Windsor 2-1",630,306,52,45,17,20,7,0,"1,077"
Hartford,-,"Windsor 2-2","2,325",641,231,175,32,31,3,0,"3,438"
Hartland,,,"1,053",384,92,49,27,12,4,0,"1,621"
Highgate,,,908,170,64,73,9,4,3,0,"1,231"
Hinesburg,,,"1,659",283,77,62,21,25,4,0,"2,131"
Holland,,,199,45,11,10,21,5,0,0,291
Hubbardton,,,176,81,15,11,11,1,1,0,296
Huntington,,,777,103,27,18,6,32,1,0,964
"Hyde Park",,,"1,083",158,48,63,18,9,0,0,"1,379"
Ira,,,124,53,12,10,7,2,12,0,220
Irasburg,,,351,68,17,91,20,3,2,0,552
"Isle La Motte",,,188,42,23,9,3,0,0,0,265
Jamaica,,,244,130,42,2,10,1,0,0,429
Jay,,,144,34,7,2,11,0,0,0,198
Jericho,,,"1,983",464,101,105,23,35,7,0,"2,718"
Johnson,,,"1,093",156,70,34,51,14,2,0,"1,420"
Kirby,,,152,40,13,12,4,0,1,0,222
Landgrove,,,61,35,3,1,0,1,1,0,102
Leicester,,,316,113,17,12,4,7,0,0,469
Lemington,,,26,20,3,1,5,1,0,0,56
Lincoln,,,517,107,42,7,4,4,2,0,683
Londonderry,,,490,280,57,17,19,2,0,0,865
Lowell,,,217,45,14,24,18,2,0,0,320
Ludlow,,,723,329,92,20,21,14,1,0,"1,200"
Lunenburg,-,"Comm. Hall",201,134,27,6,15,3,1,0,387
Lunenburg,-,Gilman,81,33,20,3,7,2,0,0,146
Lyndon,,,"1,427",418,83,136,35,13,4,0,"2,116"
Maidstone,,,30,26,3,3,2,1,0,0,65
Manchester,,,"1,087",712,158,38,33,25,6,0,"2,059"
Marlboro,,,428,76,42,5,5,5,1,0,562
Marshfield,,,578,128,30,29,12,12,5,0,794
Mendon,,,302,186,30,24,10,9,0,0,561
Middlebury,-,"Addison 4-1",3,1,7,0,0,1,0,0,12
Middlebury,-,"Addison 4-2","2,467",475,216,55,37,33,13,0,"3,296"
Middlesex,,,741,105,39,51,17,10,9,0,972
"Middletown Springs",,,259,103,38,23,12,2,1,0,438
Milton,-,"Chittenden 2-2","2,440",555,135,181,22,34,8,0,"3,375"
Milton,-,"Chittenden 2-3",334,80,28,29,3,5,3,0,482
Monkton,,,720,136,43,20,9,10,4,0,942
Montgomery,,,376,73,19,12,11,9,0,0,500
Montpelier,-,"Washington 5","3,235",382,188,137,49,47,14,0,"4,052"
Montpelier,-,"Washington-Lamoille 1-1",182,16,5,14,1,3,0,0,221
Moretown,,,687,126,42,49,12,5,2,0,923
Morgan,,,225,74,15,12,11,2,0,0,339
Morristown,,,"1,714",315,74,63,21,12,4,0,"2,203"
"Mount Holly",,,396,152,46,21,24,4,1,0,644
"Mount Tabor",,,67,19,5,2,3,2,0,0,98
"New Haven",,,653,149,36,22,4,16,1,0,881
Newark,,,172,39,8,26,11,5,0,0,261
Newbury,-,1,336,109,35,16,11,1,0,0,508
Newbury,-,"Center Town House",136,55,6,17,4,1,0,0,219
Newbury,-,"West River Village",177,78,14,15,7,1,0,0,292
Newfane,,,574,207,84,65,12,8,3,0,953
"Newport City",,,"1,243",268,83,64,57,15,6,0,"1,736"
"Newport Town",,,455,121,37,28,26,2,2,0,671
"N. Hero",,,291,106,22,9,7,10,2,0,447
Northfield,,,"1,636",363,83,134,24,19,2,0,"2,261"
Norton,,,45,26,5,0,3,0,0,0,79
Norwich,,,"1,550",307,164,25,18,17,4,0,"2,085"
Orange,,,279,99,29,90,4,2,0,0,503
Orwell,,,396,135,26,29,11,7,2,0,606
Panton,,,228,75,12,14,0,1,0,0,330
Pawlet,,,350,227,45,15,19,15,0,0,671
Peacham,,,290,92,23,16,6,9,0,0,436
Peru,,,103,75,20,3,2,2,0,0,205
Pittsfield,,,146,74,7,20,5,0,0,0,252
Pittsford,,,820,315,100,66,21,11,4,0,"1,337"
Plainfield,,,562,93,56,21,22,17,0,0,771
Plymouth,,,188,98,23,10,7,4,2,0,332
Pomfret,,,384,130,37,14,3,3,1,0,572
Poultney,,,911,362,110,45,52,20,2,0,"1,502"
Pownal,,,868,307,147,53,32,13,2,0,"1,422"
Proctor,,,586,163,48,43,16,12,0,0,868
Putney,,,868,181,93,17,16,11,1,0,"1,187"
Randolph,,,"1,360",233,63,503,14,19,5,0,"2,197"
Reading,,,238,83,24,13,6,6,0,0,370
Readsboro,,,143,93,60,15,14,6,1,0,332
Richford,,,855,129,78,24,17,8,1,0,"1,112"
Richmond,,,"1,565",308,69,70,23,34,8,0,"2,077"
Ripton,,,236,42,13,2,1,3,0,0,297
Rochester,,,462,101,22,30,14,10,2,0,641
Rockingham,,,"1,485",405,197,71,27,25,2,0,"2,212"
Roxbury,,,240,45,19,15,9,4,1,0,333
Royalton,,,793,255,68,115,32,13,1,0,"1,277"
Rupert,,,192,159,33,7,6,5,0,0,402
"Rutland City",-,"Rutland 6-1 Ward 1","1,195",433,92,59,34,11,15,0,"1,839"
"Rutland City",-,"Rutland 6-2 Ward 2","1,013",256,81,43,21,10,10,0,"1,434"
"Rutland City",-,"Rutland 6-3 Ward 3a",888,225,96,64,25,18,5,0,"1,321"
"Rutland City",-,"Rutland 6-3 Ward 3b",657,170,46,34,15,7,2,0,931
"Rutland City",-,"Rutland 6-4 Ward 4","1,038",322,84,40,31,11,3,0,"1,529"
"Rutland Town",,,"1,269",680,86,113,31,19,4,0,"2,202"
Ryegate,,,356,143,23,18,3,7,4,0,554
Salisbury,,,365,125,17,6,8,5,0,0,526
Sandgate,,,87,58,7,16,4,4,0,0,176
Searsburg,,,19,15,4,4,1,0,0,0,43
Shaftsbury,,,"1,252",483,188,58,34,12,1,0,"2,028"
Sharon,,,448,147,29,35,12,8,0,0,679
Sheffield,,,171,53,4,18,17,6,1,0,270
Shelburne,-,"Chittenden 5-1",691,241,33,26,11,14,6,0,"1,022"
Shelburne,-,"Chittenden 5-3",166,58,8,4,0,3,0,0,239
Shelburne,-,"Chittenden 5-4","1,807",545,122,43,17,38,8,0,"2,580"
Sheldon,,,572,99,42,22,10,4,3,0,752
Sherburne,,,331,197,44,18,11,8,3,0,612
Shoreham,,,425,108,30,19,8,8,1,0,599
Shrewsbury,,,405,175,37,14,13,3,3,0,650
"S. Burlington",-,"Chittenden 7-10","1,430",307,69,61,26,19,8,0,"1,920"
"S. Burlington",-,"Chittenden 7-7",610,134,30,19,11,9,1,0,814
"S. Burlington",-,"Chittenden 7-8","1,692",420,89,57,21,30,13,0,"2,322"
"S. Burlington",-,"Chittenden 7-9","1,783",444,89,48,22,34,12,0,"2,432"
"S. Hero",,,761,157,37,14,9,28,6,0,"1,012"
Springfield,-,"Windsor 1-1",473,160,44,40,12,8,2,0,739
Springfield,-,"Windsor 6","2,351",727,286,104,47,39,5,0,"3,559"
"St. Albans City",,,"1,984",340,117,92,31,26,9,0,"2,599"
"St. Albans Town",-,"Franklin 3-1",91,13,6,10,0,1,0,0,121
"St. Albans Town",-,"Franklin 3-2","1,663",339,100,93,18,15,3,0,"2,231"
"St. George",,,237,41,19,6,4,6,1,0,314
"St. Johnsbury",,,"1,887",578,167,153,58,32,9,0,"2,884"
Stamford,,,170,133,54,26,17,3,4,0,407
Stannard,,,90,6,2,2,0,3,0,0,103
Starksboro,,,666,107,21,17,11,15,1,0,838
Stockbridge,,,204,68,17,29,12,22,0,0,352
Stowe,,,"1,624",573,85,47,34,26,11,0,"2,400"
Strafford,,,464,79,42,37,7,4,0,0,633
Stratton,,,29,43,13,0,4,5,0,0,94
Sudbury,,,199,59,24,10,9,2,1,0,304
Sunderland,,,233,124,51,14,12,2,0,0,436
Sutton,,,277,107,22,36,12,2,0,0,456
Swanton,,,"1,858",303,100,100,26,12,7,0,"2,406"
Thetford,,,"1,035",272,87,26,16,9,0,0,"1,445"
Tinmouth,,,157,63,12,24,3,2,2,0,263
Topsham,,,337,115,22,134,10,5,0,0,623
Townshend,,,352,140,55,18,5,6,0,0,576
Troy,,,413,79,27,28,24,3,2,0,576
Tunbridge,,,422,95,23,108,10,9,1,0,668
Underhill,,,"1,303",272,69,37,23,31,4,0,"1,739"
Vergennes,,,767,151,42,48,8,11,1,0,"1,028"
Vernon,,,498,333,88,28,59,10,3,0,"1,019"
Vershire,,,207,51,16,59,9,4,0,0,346
Victory,,,37,14,4,3,2,0,1,0,61
Waitsfield,,,752,151,49,21,18,10,1,0,"1,002"
Walden,,,346,68,21,18,14,0,0,0,467
Wallingford,,,698,271,61,54,25,10,0,0,"1,119"
Waltham,,,176,40,4,10,5,6,2,0,243
Wardsboro,,,200,106,48,5,9,5,0,0,373
Warren,,,674,127,43,30,38,14,0,0,926
Washington,,,326,70,23,123,7,1,0,0,550
Waterbury,,,"1,824",341,83,63,34,21,10,0,"2,376"
Waterford,,,377,179,24,54,14,5,0,0,653
Waterville,,,207,71,10,1,13,1,2,0,305
Weathersfield,,,820,367,75,31,42,12,0,0,"1,347"
Wells,,,210,178,45,13,13,5,0,0,464
"W. Fairlee",,,192,61,12,19,6,1,0,0,291
"W. Haven",,,84,37,4,8,10,1,0,0,144
"W. Rutland",,,711,199,57,50,20,16,0,0,"1,053"
"W. Windsor",,,356,180,42,8,9,7,0,0,602
Westfield,,,167,39,8,28,8,4,0,0,254
Westford,,,770,146,24,23,14,10,2,0,989
Westminster,,,"1,058",255,115,30,33,14,1,0,"1,506"
Westmore,,,159,43,5,11,13,1,0,0,232
Weston,,,215,106,23,6,2,3,0,0,355
Weybridge,,,374,82,17,5,7,14,0,0,499
Wheelock,,,177,44,15,34,6,3,1,0,280
Whiting,,,124,23,4,2,2,2,0,0,157
Whitingham,,,269,220,45,31,14,3,0,0,582
Williamstown,,,923,230,58,273,17,12,2,0,"1,515"
Williston,-,"Chittenden 5-1",572,145,24,31,6,7,7,0,792
Williston,-,"Chittenden 5-2","2,378",644,143,132,24,56,21,0,"3,398"
Wilmington,,,600,341,101,21,25,5,1,0,"1,094"
Windham,,,88,61,14,17,7,3,0,0,190
Windsor,,,"1,068",282,159,54,37,8,1,0,"1,609"
Winhall,,,213,151,31,5,9,5,3,0,417
Winooski,-,Armory,788,93,53,30,16,16,2,0,998
Winooski,-,"St. Francis","1,100",152,74,46,33,17,9,0,"1,431"
Wolcott,,,472,91,20,25,12,2,1,0,623
Woodbury,,,319,74,26,20,16,2,1,0,458
Woodford,,,102,24,32,7,7,0,0,0,172
Woodstock,,,"1,198",420,114,51,22,21,1,0,"1,827"
Worcester,,,405,60,16,23,4,9,0,0,517
TOTALS,,,"196,118","51,977","14,918","11,816","4,799","2,978",766,0,"283,372"
