City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
Derby,,,24,2,0,26
Dorset,,,3,1,0,4
Dover,,,3,0,0,3
Dummerston,,,2,0,0,2
Duxbury,,,3,2,0,5
"E. Montpelier",,,3,3,0,6
Eden,,,3,1,0,4
Elmore,,,1,1,0,2
Enosburgh,,,4,3,0,7
Essex,-,"Chittenden 6-1",3,2,0,5
Essex,-,"Chittenden 6-2",3,1,0,4
Essex,-,"Chittenden 6-3",0,0,0,0
"Fair Haven",,,13,2,0,15
Fairfax,,,4,1,0,5
Fairfield,,,9,1,0,10
Fairlee,,,5,0,0,5
Fayston,,,1,0,0,1
Ferrisburgh,,,0,5,0,5
Fletcher,,,1,0,0,1
Franklin,,,3,3,0,6
Georgia,,,5,0,0,5
Glover,,,20,1,0,21
Goshen,,,1,1,0,2
Grafton,,,2,0,0,2
Granby,,,1,0,0,1
"Grand Isle",,,8,2,0,10
Granville,,,2,0,0,2
Greensboro,,,1,0,0,1
Groton,,,2,2,0,4
Guildhall,,,2,2,0,4
Guilford,,,4,0,0,4
Halifax,,,1,0,0,1
Hancock,,,3,1,0,4
Hardwick,,,3,1,0,4
Hartford,-,"Windsor 6-1",0,0,0,0
Hartford,-,"Windsor 6-2",4,2,0,6
Hartland,,,3,2,0,5
Highgate,,,4,0,0,4
Hinesburg,-,"Chittenden 1-1",2,1,0,3
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,3,0,0,3
Hubbardton,,,2,0,0,2
"Hyde Park",,,6,1,0,7
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",1,0,0,1
Irasburg,,,11,2,0,13
"Isle La Motte",,,1,1,0,2
Jamaica,,,3,1,0,4
Jay,,,3,0,0,3
Jericho,,,1,2,0,3
Johnson,,,1,0,0,1
Kirby,,,1,1,0,2
Landgrove,,,2,0,0,2
Leicester,,,1,2,0,3
Lincoln,,,1,1,0,2
Londonderry,,,4,0,0,4
Lowell,,,3,0,0,3
Ludlow,,,5,1,0,6
Lunenburg,,,3,2,0,5
Lyndon,,,9,5,0,14
Maidstone,,,0,1,0,1
Manchester,,,1,4,0,5
Marlboro,,,1,2,0,3
Marshfield,,,3,0,0,3
Mendon,,,4,3,0,7
Middlebury,,,5,5,0,10
"Middletown Springs",,,1,0,0,1
Milton,-,"Chittenden 9",2,4,0,6
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Montgomery,,,2,0,0,2
Montpelier,,,7,1,0,8
Moretown,,,2,4,0,6
Morgan,,,3,3,0,6
Morristown,,,13,0,0,13
"Mount Holly",,,3,2,0,5
"New Haven",,,11,5,0,16
Newbury,-,"Center Town House",0,0,0,0
Newbury,-,"Town Office",2,1,0,3
Newbury,-,"West River Village",1,0,0,1
Newfane,,,4,2,0,6
"Newport City",,,47,2,0,49
"Newport Town",,,16,1,0,17
"N. Hero",,,6,1,0,7
Northfield,,,5,5,0,10
Norton,,,3,3,0,6
Norwich,,,1,0,0,1
Orange,,,2,0,0,2
Orwell,,,6,3,0,9
Panton,,,1,1,0,2
Pawlet,,,3,0,0,3
Peacham,,,4,0,0,4
Pittsfield,,,3,0,0,3
Pittsford,,,1,0,0,1
Plainfield,,,3,1,0,4
Pomfret,,,4,1,0,5
Poultney,,,1,1,0,2
Pownal,,,1,1,0,2
Putney,,,2,1,0,3
Randolph,,,4,6,0,10
Reading,,,0,1,0,1
Readsboro,,,0,2,0,2
Richford,,,2,0,0,2
Richmond,,,2,1,0,3
Ripton,,,0,1,0,1
Rochester,,,12,2,0,14
Rockingham,,,9,1,0,10
Roxbury,,,0,1,0,1
Royalton,,,0,1,0,1
Rupert,,,1,0,0,1
"Rutland City",-,"Rutland 5-1",5,1,0,6
"Rutland City",-,"Rutland 5-2",3,5,0,8
"Rutland City",-,"Rutland 5-3",2,3,0,5
"Rutland City",-,"Rutland 5-4",1,4,0,5
"Rutland Town",,,1,2,0,3
Salisbury,,,3,1,0,4
Searsburg,,,0,1,0,1
Shaftsbury,,,45,7,0,52
Sharon,,,3,0,0,3
Sheffield,,,3,0,0,3
Shelburne,-,"Chittenden 5-1",4,0,0,4
Shelburne,-,"Chittenden 5-2",10,1,0,11
Sheldon,,,9,0,0,9
Shoreham,,,3,1,0,4
Shrewsbury,,,0,4,0,4
"S. Burlington",-,"Chittenden 3-10",0,2,0,2
"S. Burlington",-,"Chittenden 3-7",3,1,0,4
"S. Burlington",-,"Chittenden 3-8",2,1,0,3
"S. Burlington",-,"Chittenden 3-9",1,1,0,2
"S. Hero",,,3,0,0,3
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",3,7,0,10
"St. Albans City",,,22,2,0,24
"St. Albans Town",,,8,1,0,9
"St. Johnsbury",,,11,10,0,21
Stannard,,,0,1,0,1
Stowe,,,2,1,0,3
Strafford,,,2,0,0,2
Stratton,,,1,1,0,2
Sudbury,,,4,0,0,4
Sunderland,,,2,1,0,3
Sutton,,,4,1,0,5
Swanton,,,19,3,0,22
Thetford,,,1,1,0,2
Tinmouth,,,1,1,0,2
Topsham,,,0,2,0,2
Townshend,,,3,2,0,5
Troy,,,2,0,0,2
Tunbridge,,,8,2,0,10
Underhill,,,0,1,0,1
Vergennes,,,7,1,0,8
Vernon,,,10,2,0,12
Victory,,,1,0,0,1
Waitsfield,,,2,5,0,7
Walden,,,3,2,0,5
Wallingford,,,3,1,0,4
Waltham,,,1,0,0,1
Wardsboro,,,1,0,0,1
Warren,,,0,2,0,2
Washington,,,1,0,0,1
Waterbury,,,0,4,0,4
Waterford,,,1,0,0,1
Weathersfield,,,4,2,0,6
Wells,,,1,2,0,3
"W. Fairlee",,,3,0,0,3
"W. Haven",,,2,0,0,2
"W. Rutland",,,1,8,0,9
"W. Windsor",,,4,0,0,4
Westfield,,,4,0,0,4
Westford,,,0,2,0,2
Westminster,-,Windham-4,3,0,0,3
Westminster,-,Windham-5,4,1,0,5
Weston,,,1,1,0,2
Wheelock,,,0,1,0,1
Whiting,,,1,0,0,1
Whitingham,,,2,1,0,3
Williamstown,,,7,2,0,9
Williston,,,4,2,0,6
Wilmington,,,1,0,0,1
Windham,,,2,0,0,2
Windsor,,,8,3,0,11
Winhall,,,2,2,0,4
Winooski,,,1,2,0,3
Wolcott,,,1,0,0,1
Woodbury,,,3,1,0,4
Woodford,,,2,0,0,2
Woodstock,,,7,1,0,8
Worcester,,,1,2,0,3
TOTALS,,,"1,042",352,0,"1,394"
