"district","town","precinct","NA.1","NA","NA.3","NA.2","votes"
"","Windham","Brookline","Democratic/Progressive","",165,"Doug Hoffer",
"","Orleans","Brownington","Democratic/Progressive","",153,"Doug Hoffer",
"","Essex","Brunswick","Democratic/Progressive","",19,"Doug Hoffer",
"","Caledonia","Burke","Democratic/Progressive","",343,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",2826,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",1587,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",2585,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",1698,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",3491,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",752,"Doug Hoffer",
"","Chittenden","Burlington","Democratic/Progressive","",86,"Doug Hoffer",
"","Washington","Cabot","Democratic/Progressive","",406,"Doug Hoffer",
"","Washington","Calais","Democratic/Progressive","",654,"Doug Hoffer",
"","Lamoille","Cambridge","Democratic/Progressive","",1005,"Doug Hoffer",
"","Essex","Canaan","Democratic/Progressive","",136,"Doug Hoffer",
"","Rutland","Castleton","Democratic/Progressive","",672,"Doug Hoffer",
"","Windsor","Cavendish","Democratic/Progressive","",281,"Doug Hoffer",
"","Orleans","Charleston","Democratic/Progressive","",159,"Doug Hoffer",
"","Chittenden","Charlotte","Democratic/Progressive","",1440,"Doug Hoffer",
"","Orange","Chelsea","Democratic/Progressive","",272,"Doug Hoffer",
"","Windsor","Chester","Democratic/Progressive","",752,"Doug Hoffer",
"","Rutland","Chittenden","Democratic/Progressive","",292,"Doug Hoffer",
"","Rutland","Clarendon","Democratic/Progressive","",439,"Doug Hoffer",
"","Chittenden","Colchester","Democratic/Progressive","",1653,"Doug Hoffer",
"","Chittenden","Colchester","Democratic/Progressive","",2172,"Doug Hoffer",
"","Essex","Concord","Democratic/Progressive","",196,"Doug Hoffer",
"","Orange","Corinth","Democratic/Progressive","",307,"Doug Hoffer",
"","Addison","Cornwall","Democratic/Progressive","",443,"Doug Hoffer",
"","Orleans","Coventry","Democratic/Progressive","",208,"Doug Hoffer",
"","Orleans","Craftsbury","Democratic/Progressive","",370,"Doug Hoffer",
"","Rutland","Danby","Democratic/Progressive","",245,"Doug Hoffer",
"","Caledonia","Danville","Democratic/Progressive","",639,"Doug Hoffer",
"","Orleans","Derby","Democratic/Progressive","",846,"Doug Hoffer",
"","Bennington","Dorset","Democratic/Progressive","",559,"Doug Hoffer",
"","Windham","Dover","Democratic/Progressive","",336,"Doug Hoffer",
"","Windham","Dummerston","Democratic/Progressive","",733,"Doug Hoffer",
"","Washington","Duxbury","Democratic/Progressive","",411,"Doug Hoffer",
"","Essex","East Haven","Democratic/Progressive","",43,"Doug Hoffer",
"","Washington","East Montpelier","Democratic/Progressive","",993,"Doug Hoffer",
"","Lamoille","Eden","Democratic/Progressive","",233,"Doug Hoffer",
"","Lamoille","Elmore","Democratic/Progressive","",299,"Doug Hoffer",
"","Franklin","Enosburgh","Democratic/Progressive","",580,"Doug Hoffer",
"","Chittenden","Essex","Democratic/Progressive","",2145,"Doug Hoffer",
"","Chittenden","Essex","Democratic/Progressive","",2335,"Doug Hoffer",
"","Chittenden","Essex","Democratic/Progressive","",638,"Doug Hoffer",
"","Rutland","Fair Haven","Democratic/Progressive","",445,"Doug Hoffer",
"","Franklin","Fairfax","Democratic/Progressive","",1000,"Doug Hoffer",
"","Franklin","Fairfield","Democratic/Progressive","",486,"Doug Hoffer",
"","Orange","Fairlee","Democratic/Progressive","",305,"Doug Hoffer",
"","Washington","Fayston","Democratic/Progressive","",470,"Doug Hoffer",
"","Addison","Ferrisburgh","Democratic/Progressive","",815,"Doug Hoffer",
"","Franklin","Fletcher","Democratic/Progressive","",327,"Doug Hoffer",
"","Franklin","Franklin","Democratic/Progressive","",215,"Doug Hoffer",
"","Franklin","Georgia","Democratic/Progressive","",909,"Doug Hoffer",
"","Orleans","Glover","Democratic/Progressive","",266,"Doug Hoffer",
"","Addison","Goshen","Democratic/Progressive","",70,"Doug Hoffer",
"","Windham","Grafton","Democratic/Progressive","",171,"Doug Hoffer",
"","Essex","Granby","Democratic/Progressive","",13,"Doug Hoffer",
"","Grand Isle","Grand Isle","Democratic/Progressive","",570,"Doug Hoffer",
"","Addison","Granville","Democratic/Progressive","",93,"Doug Hoffer",
"","Orleans","Greensboro","Democratic/Progressive","",252,"Doug Hoffer",
"","Caledonia","Groton","Democratic/Progressive","",170,"Doug Hoffer",
"","Essex","Guildhall","Democratic/Progressive","",51,"Doug Hoffer",
"","Windham","Guilford","Democratic/Progressive","",696,"Doug Hoffer",
"","Windham","Halifax","Democratic/Progressive","",192,"Doug Hoffer",
"","Addison","Hancock","Democratic/Progressive","",84,"Doug Hoffer",
"","Caledonia","Hardwick","Democratic/Progressive","",656,"Doug Hoffer",
"","Windsor","Hartford","Democratic/Progressive","",593,"Doug Hoffer",
"","Windsor","Hartford","Democratic/Progressive","",2143,"Doug Hoffer",
"","Windsor","Hartland","Democratic/Progressive","",1018,"Doug Hoffer",
"","Franklin","Highgate","Democratic/Progressive","",536,"Doug Hoffer",
"","Chittenden","Hinesburg","Democratic/Progressive","",14,"Doug Hoffer",
"","Chittenden","Hinesburg","Democratic/Progressive","",1531,"Doug Hoffer",
"","Orleans","Holland","Democratic/Progressive","",94,"Doug Hoffer",
"","Rutland","Hubbardton","Democratic/Progressive","",158,"Doug Hoffer",
"","Chittenden","Huntington","Democratic/Progressive","",779,"Doug Hoffer",
"","Lamoille","Hyde Park","Democratic/Progressive","",772,"Doug Hoffer",
"","Rutland","Ira","Democratic/Progressive","",88,"Doug Hoffer",
"","Orleans","Irasburg","Democratic/Progressive","",217,"Doug Hoffer",
"","Grand Isle","Isle La Motte","Democratic/Progressive","",131,"Doug Hoffer",
"","Windham","Jamaica","Democratic/Progressive","",270,"Doug Hoffer",
"","Orleans","Jay","Democratic/Progressive","",101,"Doug Hoffer",
"","Chittenden","Jericho","Democratic/Progressive","",1712,"Doug Hoffer",
"","Lamoille","Johnson","Democratic/Progressive","",679,"Doug Hoffer",
"","Rutland","Killington","Democratic/Progressive","",271,"Doug Hoffer",
"","Caledonia","Kirby","Democratic/Progressive","",132,"Doug Hoffer",
"","Bennington","Landgrove","Democratic/Progressive","",39,"Doug Hoffer",
"","Addison","Leicester","Democratic/Progressive","",210,"Doug Hoffer",
"","Essex","Lemington","Democratic/Progressive","",17,"Doug Hoffer",
"","Addison","Lincoln","Democratic/Progressive","",481,"Doug Hoffer",
"","Windham","Londonderry","Democratic/Progressive","",415,"Doug Hoffer",
"","Orleans","Lowell","Democratic/Progressive","",144,"Doug Hoffer",
"","Windsor","Ludlow","Democratic/Progressive","",500,"Doug Hoffer",
"","Essex","Lunenburg","Democratic/Progressive","",148,"Doug Hoffer",
"","Caledonia","Lyndon","Democratic/Progressive","",806,"Doug Hoffer",
"","Essex","Maidstone","Democratic/Progressive","",29,"Doug Hoffer",
"","Bennington","Manchester","Democratic/Progressive","",1122,"Doug Hoffer",
"","Windham","Marlboro","Democratic/Progressive","",404,"Doug Hoffer",
"","Washington","Marshfield","Democratic/Progressive","",469,"Doug Hoffer",
"","Rutland","Mendon","Democratic/Progressive","",242,"Doug Hoffer",
"","Addison","Middlebury","Democratic/Progressive","",2317,"Doug Hoffer",
"","Washington","Middlesex","Democratic/Progressive","",702,"Doug Hoffer",
"","Rutland","Middletown Springs","Democratic/Progressive","",217,"Doug Hoffer",
"","Chittenden","Milton","Democratic/Progressive","",1744,"Doug Hoffer",
"","Chittenden","Milton","Democratic/Progressive","",281,"Doug Hoffer",
"","Addison","Monkton","Democratic/Progressive","",615,"Doug Hoffer",
"","Franklin","Montgomery","Democratic/Progressive","",334,"Doug Hoffer",
"","Washington","Montpelier","Democratic/Progressive","",3406,"Doug Hoffer",
"","Washington","Moretown","Democratic/Progressive","",573,"Doug Hoffer",
"","Orleans","Morgan","Democratic/Progressive","",107,"Doug Hoffer",
"","Lamoille","Morristown","Democratic/Progressive","",1381,"Doug Hoffer",
"","Rutland","Mount Holly","Democratic/Progressive","",314,"Doug Hoffer",
"","Rutland","Mount Tabor","Democratic/Progressive","",40,"Doug Hoffer",
"","Addison","New Haven","Democratic/Progressive","",520,"Doug Hoffer",
"","Caledonia","Newark","Democratic/Progressive","",127,"Doug Hoffer",
"","Orange","Newbury","Democratic/Progressive","",498,"Doug Hoffer",
"","Windham","Newfane","Democratic/Progressive","",591,"Doug Hoffer",
"","Orleans","Newport City","Democratic/Progressive","",709,"Doug Hoffer",
"","Orleans","Newport Town","Democratic/Progressive","",271,"Doug Hoffer",
"","Grand Isle","North Hero","Democratic/Progressive","",281,"Doug Hoffer",
"","Washington","Northfield","Democratic/Progressive","",1090,"Doug Hoffer",
"","Essex","Norton","Democratic/Progressive","",27,"Doug Hoffer",
"","Windsor","Norwich","Democratic/Progressive","",1624,"Doug Hoffer",
"","Orange","Orange","Democratic/Progressive","",187,"Doug Hoffer",
"","Addison","Orwell","Democratic/Progressive","",245,"Doug Hoffer",
"","Addison","Panton","Democratic/Progressive","",166,"Doug Hoffer",
"","Rutland","Pawlet","Democratic/Progressive","",338,"Doug Hoffer",
"","Caledonia","Peacham","Democratic/Progressive","",268,"Doug Hoffer",
"","Bennington","Peru","Democratic/Progressive","",123,"Doug Hoffer",
"","Rutland","Pittsfield","Democratic/Progressive","",139,"Doug Hoffer",
"","Rutland","Pittsford","Democratic/Progressive","",600,"Doug Hoffer",
"","Washington","Plainfield","Democratic/Progressive","",429,"Doug Hoffer",
"","Windsor","Plymouth","Democratic/Progressive","",167,"Doug Hoffer",
"","Windsor","Pomfret","Democratic/Progressive","",349,"Doug Hoffer",
"","Rutland","Poultney","Democratic/Progressive","",593,"Doug Hoffer",
"","Bennington","Pownal","Democratic/Progressive","",713,"Doug Hoffer",
"","Rutland","Proctor","Democratic/Progressive","",364,"Doug Hoffer",
"","Windham","Putney","Democratic/Progressive","",882,"Doug Hoffer",
"","Orange","Randolph","Democratic/Progressive","",1117,"Doug Hoffer",
"","Windsor","Reading","Democratic/Progressive","",169,"Doug Hoffer",
"","Bennington","Readsboro","Democratic/Progressive","",161,"Doug Hoffer",
"","Franklin","Richford","Democratic/Progressive","",383,"Doug Hoffer",
"","Chittenden","Richmond","Democratic/Progressive","",1442,"Doug Hoffer",
"","Addison","Ripton","Democratic/Progressive","",216,"Doug Hoffer",
"","Windsor","Rochester","Democratic/Progressive","",360,"Doug Hoffer",
"","Windham","Rockingham","Democratic/Progressive","",1203,"Doug Hoffer",
"","Washington","Roxbury","Democratic/Progressive","",196,"Doug Hoffer",
"","Windsor","Royalton","Democratic/Progressive","",631,"Doug Hoffer",
"","Bennington","Rupert","Democratic/Progressive","",185,"Doug Hoffer",
"","Rutland","Rutland City","Democratic/Progressive","",934,"Doug Hoffer",
"","Rutland","Rutland City","Democratic/Progressive","",807,"Doug Hoffer",
"","Rutland","Rutland City","Democratic/Progressive","",549,"Doug Hoffer",
"","Rutland","Rutland City","Democratic/Progressive","",761,"Doug Hoffer",
"","Rutland","Rutland Town","Democratic/Progressive","",917,"Doug Hoffer",
"","Caledonia","Ryegate","Democratic/Progressive","",244,"Doug Hoffer",
"","Addison","Salisbury","Democratic/Progressive","",259,"Doug Hoffer",
"","Bennington","Sandgate","Democratic/Progressive","",96,"Doug Hoffer",
"","Bennington","Searsburg","Democratic/Progressive","",19,"Doug Hoffer",
"","Bennington","Shaftsbury","Democratic/Progressive","",835,"Doug Hoffer",
"","Windsor","Sharon","Democratic/Progressive","",398,"Doug Hoffer",
"","Caledonia","Sheffield","Democratic/Progressive","",119,"Doug Hoffer",
"","Chittenden","Shelburne","Democratic/Progressive","",1596,"Doug Hoffer",
"","Chittenden","Shelburne","Democratic/Progressive","",1166,"Doug Hoffer",
"","Franklin","Sheldon","Democratic/Progressive","",336,"Doug Hoffer",
"","Addison","Shoreham","Democratic/Progressive","",316,"Doug Hoffer",
"","Rutland","Shrewsbury","Democratic/Progressive","",318,"Doug Hoffer",
"","Chittenden","South Burlington","Democratic/Progressive","",1583,"Doug Hoffer",
"","Chittenden","South Burlington","Democratic/Progressive","",1631,"Doug Hoffer",
"","Chittenden","South Burlington","Democratic/Progressive","",1550,"Doug Hoffer",
"","Chittenden","South Burlington","Democratic/Progressive","",1317,"Doug Hoffer",
"","Grand Isle","South Hero","Democratic/Progressive","",584,"Doug Hoffer",
"","Windsor","Springfield","Democratic/Progressive","",66,"Doug Hoffer",
"","Windsor","Springfield","Democratic/Progressive","",1720,"Doug Hoffer",
"",,"Saint  Albans City","Democratic/Progressive","",1270,"Doug Hoffer",
"",,"Saint  Albans Town","Democratic/Progressive","",433,"Doug Hoffer",
"",,"Saint  Albans Town","Democratic/Progressive","",914,"Doug Hoffer",
"",,"Saint  George","Democratic/Progressive","",186,"Doug Hoffer",
"",,"Saint  Johnsbury","Democratic/Progressive","",1395,"Doug Hoffer",
"","Bennington","Stamford","Democratic/Progressive","",174,"Doug Hoffer",
"","Caledonia","Stannard","Democratic/Progressive","",58,"Doug Hoffer",
"","Addison","Starksboro","Democratic/Progressive","",517,"Doug Hoffer",
"","Windsor","Stockbridge","Democratic/Progressive","",202,"Doug Hoffer",
"","Lamoille","Stowe","Democratic/Progressive","",1429,"Doug Hoffer",
"","Orange","Strafford","Democratic/Progressive","",455,"Doug Hoffer",
"","Windham","Stratton","Democratic/Progressive","",44,"Doug Hoffer",
"","Rutland","Sudbury","Democratic/Progressive","",162,"Doug Hoffer",
"","Bennington","Sunderland","Democratic/Progressive","",59,"Doug Hoffer",
"","Bennington","Sunderland","Democratic/Progressive","",184,"Doug Hoffer",
"","Caledonia","Sutton","Democratic/Progressive","",167,"Doug Hoffer",
"","Franklin","Swanton","Democratic/Progressive","",1131,"Doug Hoffer",
"","Orange","Thetford","Democratic/Progressive","",1011,"Doug Hoffer",
"","Rutland","Tinmouth","Democratic/Progressive","",36,"Doug Hoffer",
"","Rutland","Tinmouth","Democratic/Progressive","",111,"Doug Hoffer",
"","Orange","Topsham","Democratic/Progressive","",217,"Doug Hoffer",
"","Windham","Townshend","Democratic/Progressive","",349,"Doug Hoffer",
"","Orleans","Troy","Democratic/Progressive","",62,"Doug Hoffer",
"","Orleans","Troy","Democratic/Progressive","",210,"Doug Hoffer",
"","Orange","Tunbridge","Democratic/Progressive","",358,"Doug Hoffer",
"","Chittenden","Underhill","Democratic/Progressive","",1051,"Doug Hoffer",
"","Addison","Vergennes","Democratic/Progressive","",682,"Doug Hoffer",
"","Windham","Vernon","Democratic/Progressive","",416,"Doug Hoffer",
"","Orange","Vershire","Democratic/Progressive","",187,"Doug Hoffer",
"","Essex","Victory","Democratic/Progressive","",26,"Doug Hoffer",
"","Washington","Waitsfield","Democratic/Progressive","",634,"Doug Hoffer",
"","Caledonia","Walden","Democratic/Progressive","",252,"Doug Hoffer",
"","Rutland","Wallingford","Democratic/Progressive","",460,"Doug Hoffer",
"","Addison","Waltham","Democratic/Progressive","",141,"Doug Hoffer",
"","Windham","Wardsboro","Democratic/Progressive","",184,"Doug Hoffer",
"","Washington","Warren","Democratic/Progressive","",641,"Doug Hoffer",
"","Orange","Washington","Democratic/Progressive","",200,"Doug Hoffer",
"","Washington","Waterbury","Democratic/Progressive","",1738,"Doug Hoffer",
"","Caledonia","Waterford","Democratic/Progressive","",269,"Doug Hoffer",
"","Lamoille","Waterville","Democratic/Progressive","",144,"Doug Hoffer",
"","Windsor","Weathersfield","Democratic/Progressive","",664,"Doug Hoffer",
"","Rutland","Wells","Democratic/Progressive","",204,"Doug Hoffer",
"","Orange","West Fairlee","Democratic/Progressive","",148,"Doug Hoffer",
"","Rutland","West Haven","Democratic/Progressive","",51,"Doug Hoffer",
"","Rutland","West Rutland","Democratic/Progressive","",383,"Doug Hoffer",
"","Windsor","West Windsor","Democratic/Progressive","",350,"Doug Hoffer",
"","Orleans","Westfield","Democratic/Progressive","",144,"Doug Hoffer",
"","Chittenden","Westford","Democratic/Progressive","",578,"Doug Hoffer",
"","Windham","Westminster","Democratic/Progressive","",37,"Doug Hoffer",
"","Windham","Westminster","Democratic/Progressive","",905,"Doug Hoffer",
"","Orleans","Westmore","Democratic/Progressive","",89,"Doug Hoffer",
"","Windsor","Weston","Democratic/Progressive","",211,"Doug Hoffer",
"","Addison","Weybridge","Democratic/Progressive","",354,"Doug Hoffer",
"","Caledonia","Wheelock","Democratic/Progressive","",156,"Doug Hoffer",
"","Addison","Whiting","Democratic/Progressive","",101,"Doug Hoffer",
"","Windham","Whitingham","Democratic/Progressive","",244,"Doug Hoffer",
"","Windham","Whitingham","Democratic/Progressive","",16,"Doug Hoffer",
"","Orange","Williamstown","Democratic/Progressive","",644,"Doug Hoffer",
"","Chittenden","Williston","Democratic/Progressive","",2812,"Doug Hoffer",
"","Windham","Wilmington","Democratic/Progressive","",482,"Doug Hoffer",
"","Windham","Windham","Democratic/Progressive","",123,"Doug Hoffer",
"","Windsor","Windsor","Democratic/Progressive","",893,"Doug Hoffer",
"","Bennington","Winhall","Democratic/Progressive","",254,"Doug Hoffer",
"","Chittenden","Winooski","Democratic/Progressive","",1938,"Doug Hoffer",
"","Lamoille","Wolcott","Democratic/Progressive","",390,"Doug Hoffer",
"","Washington","Woodbury","Democratic/Progressive","",285,"Doug Hoffer",
"","Bennington","Woodford","Democratic/Progressive","",88,"Doug Hoffer",
"","Windsor","Woodstock","Democratic/Progressive","",1054,"Doug Hoffer",
"","Washington","Worcester","Democratic/Progressive","",383,"Doug Hoffer",
"","Addison","Addison","Republican","",427,"Dan Feliciano",
"","Orleans","Albany","Republican","",176,"Dan Feliciano",
"","Grand Isle","Alburgh","Republican","",386,"Dan Feliciano",
"","Windsor","Andover","Republican","",134,"Dan Feliciano",
"","Bennington","Arlington","Republican","",508,"Dan Feliciano",
"","Windham","Athens","Republican","",62,"Dan Feliciano",
"","Franklin","Bakersfield","Republican","",248,"Dan Feliciano",
"","Windsor","Baltimore","Republican","",62,"Dan Feliciano",
"","Windsor","Barnard","Republican","",198,"Dan Feliciano",
"","Caledonia","Barnet","Republican","",373,"Dan Feliciano",
"","Washington","Barre City","Republican","",1297,"Dan Feliciano",
"","Washington","Barre Town","Republican","",2160,"Dan Feliciano",
"","Orleans","Barton","Republican","",431,"Dan Feliciano",
"","Lamoille","Belvidere","Republican","",84,"Dan Feliciano",
"","Bennington","Bennington","Republican","",1002,"Dan Feliciano",
"","Bennington","Bennington","Republican","",994,"Dan Feliciano",
"","Rutland","Benson","Republican","",241,"Dan Feliciano",
"","Franklin","Berkshire","Republican","",297,"Dan Feliciano",
"","Washington","Berlin","Republican","",555,"Dan Feliciano",
"","Windsor","Bethel","Republican","",346,"Dan Feliciano",
"","Essex","Bloomfield","Republican","",45,"Dan Feliciano",
"","Chittenden","Bolton","Republican","",247,"Dan Feliciano",
"","Orange","Bradford","Republican","",460,"Dan Feliciano",
"","Orange","Braintree","Republican","",242,"Dan Feliciano",
"","Rutland","Brandon","Republican","",783,"Dan Feliciano",
"","Windham","Brattleboro","Republican","",500,"Dan Feliciano",
"","Windham","Brattleboro","Republican","",239,"Dan Feliciano",
"","Windham","Brattleboro","Republican","",279,"Dan Feliciano",
"","Windsor","Bridgewater","Republican","",206,"Dan Feliciano",
"","Addison","Bridport","Republican","",327,"Dan Feliciano",
"","Essex","Brighton","Republican","",230,"Dan Feliciano",
"","Addison","Bristol","Republican","",705,"Dan Feliciano",
"","Orange","Brookfield","Republican","",303,"Dan Feliciano",
"","Windham","Brookline","Republican","",84,"Dan Feliciano",
"","Orleans","Brownington","Republican","",159,"Dan Feliciano",
"","Essex","Brunswick","Republican","",26,"Dan Feliciano",
"","Caledonia","Burke","Republican","",370,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",1103,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",382,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",371,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",249,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",759,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",150,"Dan Feliciano",
"","Chittenden","Burlington","Republican","",18,"Dan Feliciano",
"","Washington","Cabot","Republican","",256,"Dan Feliciano",
"","Washington","Calais","Republican","",243,"Dan Feliciano",
"","Lamoille","Cambridge","Republican","",700,"Dan Feliciano",
"","Essex","Canaan","Republican","",204,"Dan Feliciano",
"","Rutland","Castleton","Republican","",860,"Dan Feliciano",
"","Windsor","Cavendish","Republican","",285,"Dan Feliciano",
"","Orleans","Charleston","Republican","",178,"Dan Feliciano",
"","Chittenden","Charlotte","Republican","",786,"Dan Feliciano",
"","Orange","Chelsea","Republican","",302,"Dan Feliciano",
"","Windsor","Chester","Republican","",576,"Dan Feliciano",
"","Rutland","Chittenden","Republican","",358,"Dan Feliciano",
"","Rutland","Clarendon","Republican","",650,"Dan Feliciano",
"","Chittenden","Colchester","Republican","",1291,"Dan Feliciano",
"","Chittenden","Colchester","Republican","",1762,"Dan Feliciano",
"","Essex","Concord","Republican","",291,"Dan Feliciano",
"","Orange","Corinth","Republican","",284,"Dan Feliciano",
"","Addison","Cornwall","Republican","",229,"Dan Feliciano",
"","Orleans","Coventry","Republican","",199,"Dan Feliciano",
"","Orleans","Craftsbury","Republican","",176,"Dan Feliciano",
"","Rutland","Danby","Republican","",309,"Dan Feliciano",
"","Caledonia","Danville","Republican","",573,"Dan Feliciano",
"","Orleans","Derby","Republican","",945,"Dan Feliciano",
"","Bennington","Dorset","Republican","",458,"Dan Feliciano",
"","Windham","Dover","Republican","",317,"Dan Feliciano",
"","Windham","Dummerston","Republican","",275,"Dan Feliciano",
"","Washington","Duxbury","Republican","",266,"Dan Feliciano",
"","Essex","East Haven","Republican","",73,"Dan Feliciano",
"","Washington","East Montpelier","Republican","",454,"Dan Feliciano",
"","Lamoille","Eden","Republican","",246,"Dan Feliciano",
"","Lamoille","Elmore","Republican","",181,"Dan Feliciano",
"","Franklin","Enosburgh","Republican","",466,"Dan Feliciano",
"","Chittenden","Essex","Republican","",2181,"Dan Feliciano",
"","Chittenden","Essex","Republican","",2178,"Dan Feliciano",
"","Chittenden","Essex","Republican","",656,"Dan Feliciano",
"","Rutland","Fair Haven","Republican","",552,"Dan Feliciano",
"","Franklin","Fairfax","Republican","",1138,"Dan Feliciano",
"","Franklin","Fairfield","Republican","",372,"Dan Feliciano",
"","Orange","Fairlee","Republican","",190,"Dan Feliciano",
"","Washington","Fayston","Republican","",235,"Dan Feliciano",
"","Addison","Ferrisburgh","Republican","",658,"Dan Feliciano",
"","Franklin","Fletcher","Republican","",292,"Dan Feliciano",
"","Franklin","Franklin","Republican","",334,"Dan Feliciano",
"","Franklin","Georgia","Republican","",1249,"Dan Feliciano",
"","Orleans","Glover","Republican","",215,"Dan Feliciano",
"","Addison","Goshen","Republican","",39,"Dan Feliciano",
"","Windham","Grafton","Republican","",155,"Dan Feliciano",
"","Essex","Granby","Republican","",20,"Dan Feliciano",
"","Grand Isle","Grand Isle","Republican","",504,"Dan Feliciano",
"","Addison","Granville","Republican","",38,"Dan Feliciano",
"","Orleans","Greensboro","Republican","",114,"Dan Feliciano",
"","Caledonia","Groton","Republican","",230,"Dan Feliciano",
"","Essex","Guildhall","Republican","",79,"Dan Feliciano",
"","Windham","Guilford","Republican","",284,"Dan Feliciano",
"","Windham","Halifax","Republican","",163,"Dan Feliciano",
"","Addison","Hancock","Republican","",54,"Dan Feliciano",
"","Caledonia","Hardwick","Republican","",523,"Dan Feliciano",
"","Windsor","Hartford","Republican","",456,"Dan Feliciano",
"","Windsor","Hartford","Republican","",1170,"Dan Feliciano",
"","Windsor","Hartland","Republican","",604,"Dan Feliciano",
"","Franklin","Highgate","Republican","",700,"Dan Feliciano",
"","Chittenden","Hinesburg","Republican","",4,"Dan Feliciano",
"","Chittenden","Hinesburg","Republican","",809,"Dan Feliciano",
"","Orleans","Holland","Republican","",139,"Dan Feliciano",
"","Rutland","Hubbardton","Republican","",174,"Dan Feliciano",
"","Chittenden","Huntington","Republican","",317,"Dan Feliciano",
"","Lamoille","Hyde Park","Republican","",587,"Dan Feliciano",
"","Rutland","Ira","Republican","",126,"Dan Feliciano",
"","Orleans","Irasburg","Republican","",260,"Dan Feliciano",
"","Grand Isle","Isle La Motte","Republican","",135,"Dan Feliciano",
"","Windham","Jamaica","Republican","",161,"Dan Feliciano",
"","Orleans","Jay","Republican","",99,"Dan Feliciano",
"","Chittenden","Jericho","Republican","",1248,"Dan Feliciano",
"","Lamoille","Johnson","Republican","",454,"Dan Feliciano",
"","Rutland","Killington","Republican","",291,"Dan Feliciano",
"","Caledonia","Kirby","Republican","",105,"Dan Feliciano",
"","Bennington","Landgrove","Republican","",48,"Dan Feliciano",
"","Addison","Leicester","Republican","",224,"Dan Feliciano",
"","Essex","Lemington","Republican","",30,"Dan Feliciano",
"","Addison","Lincoln","Republican","",223,"Dan Feliciano",
"","Windham","Londonderry","Republican","",368,"Dan Feliciano",
"","Orleans","Lowell","Republican","",214,"Dan Feliciano",
"","Windsor","Ludlow","Republican","",414,"Dan Feliciano",
"","Essex","Lunenburg","Republican","",318,"Dan Feliciano",
"","Caledonia","Lyndon","Republican","",958,"Dan Feliciano",
