election_value,title
67654,2014 State Representative Democratic Primary Windham-Bennington-Windsor District
67655,2014 State Representative Democratic Primary Chittenden 3 District
67656,2014 State Representative Democratic Primary Rutland-Windsor 2 District
67657,2014 State Representative Democratic Primary Windham 5 District
67658,2014 State Representative Democratic Primary Addison 1 District
67659,2014 State Representative Democratic Primary Rutland-Bennington District
67660,2014 State Representative Democratic Primary Chittenden 10 District
67661,2014 State Representative Democratic Primary Washington 4 District
67662,2014 State Representative Democratic Primary Windsor-Orange 2 District
67663,2014 State Representative Democratic Primary Windsor 5 District
67664,2014 State Representative Democratic Primary Bennington 1 District
67665,2014 State Representative Democratic Primary Chittenden 1 District
67666,2014 State Representative Democratic Primary Windsor-Orange 1 District
67667,2014 State Representative Democratic Primary Rutland 5-1 District
67668,2014 State Representative Democratic Primary Rutland 5-2 District
67669,2014 State Representative Democratic Primary Rutland 5-3 District
67670,2014 State Representative Democratic Primary Rutland 5-4 District
67671,2014 State Representative Democratic Primary Rutland 4 District
67672,2014 State Representative Democratic Primary Franklin 3-1 District
67673,2014 State Representative Democratic Primary Franklin 3-2 District
67674,2014 State Representative Democratic Primary Chittenden 5-2 District
67675,2014 State Representative Democratic Primary Caledonia 3 District
67676,2014 State Representative Democratic Primary Bennington 3 District
67677,2014 State Representative Democratic Primary Chittenden 5-1 District
67678,2014 State Representative Democratic Primary Franklin 4 District
67679,2014 State Representative Democratic Primary Chittenden 7-1 District
67680,2014 State Representative Democratic Primary Chittenden 7-2 District
67681,2014 State Representative Democratic Primary Chittenden 7-3 District
67682,2014 State Representative Democratic Primary Chittenden 7-4 District
67683,2014 State Representative Democratic Primary Windsor 3-2 District
67684,2014 State Representative Democratic Primary Lamoille 1 District
67685,2014 State Representative Democratic Primary Chittenden 2 District
67686,2014 State Representative Liberty Union Primary Addison 3 District
67687,2014 State Representative Liberty Union Primary Orleans-Caledonia District
67688,2014 State Representative Liberty Union Primary Grand Isle-Chittenden District
67689,2014 State Representative Liberty Union Primary Windsor 3-1 District
67690,2014 State Representative Liberty Union Primary Bennington 4 District
67691,2014 State Representative Liberty Union Primary Windham 3 District
67692,2014 State Representative Liberty Union Primary Franklin 6 District
67693,2014 State Representative Liberty Union Primary Windsor 4-1 District
67694,2014 State Representative Liberty Union Primary Caledonia 1 District
67695,2014 State Representative Liberty Union Primary Washington 3 District
67696,2014 State Representative Liberty Union Primary Washington 2 District
67697,2014 State Representative Liberty Union Primary Lamoille 2 District
67698,2014 State Representative Liberty Union Primary Bennington 2-1 District
67699,2014 State Representative Liberty Union Primary Bennington 2-2 District
67700,2014 State Representative Liberty Union Primary Addison-Rutland District
67701,2014 State Representative Liberty Union Primary Franklin 5 District
67702,2014 State Representative Liberty Union Primary Washington 1 District
67703,2014 State Representative Liberty Union Primary Windsor-Rutland District
67704,2014 State Representative Liberty Union Primary Essex-Caledonia-Orleans District
67705,2014 State Representative Liberty Union Primary Washington-Chittenden District
67706,2014 State Representative Liberty Union Primary Orange 2 District
67707,2014 State Representative Liberty Union Primary Orange-Washington-Addison District
67708,2014 State Representative Liberty Union Primary Rutland 6 District
67709,2014 State Representative Liberty Union Primary Windham 2-1 District
67710,2014 State Representative Liberty Union Primary Windham 2-2 District
67711,2014 State Representative Liberty Union Primary Windham 2-3 District
67712,2014 State Representative Liberty Union Primary Rutland-Windsor 1 District
67713,2014 State Representative Liberty Union Primary Addison 5 District
67714,2014 State Representative Liberty Union Primary Addison 4 District
67715,2014 State Representative Liberty Union Primary Orleans 1 District
67716,2014 State Representative Liberty Union Primary Essex-Caledonia District
67717,2014 State Representative Liberty Union Primary Caledonia 4 District
67718,2014 State Representative Liberty Union Primary Chittenden 6-1 District
67719,2014 State Representative Liberty Union Primary Chittenden 6-2 District
67720,2014 State Representative Liberty Union Primary Chittenden 6-3 District
67721,2014 State Representative Liberty Union Primary Chittenden 6-4 District
67722,2014 State Representative Liberty Union Primary Chittenden 6-5 District
67723,2014 State Representative Liberty Union Primary Chittenden 6-6 District
67724,2014 State Representative Liberty Union Primary Chittenden 6-7 District
67725,2014 State Representative Liberty Union Primary Caledonia-Washington District
67726,2014 State Representative Liberty Union Primary Washington 6 District
67727,2014 State Representative Liberty Union Primary Lamoille 3 District
67728,2014 State Representative Liberty Union Primary Rutland 3 District
67729,2014 State Representative Liberty Union Primary Windsor 2 District
67730,2014 State Representative Liberty Union Primary Chittenden 4-1 District
67731,2014 State Representative Liberty Union Primary Orange 1 District
67732,2014 State Representative Liberty Union Primary Rutland 2 District
67733,2014 State Representative Liberty Union Primary Chittenden 9-1 District
67734,2014 State Representative Liberty Union Primary Chittenden 9-2 District
67735,2014 State Representative Liberty Union Primary Addison 2 District
67736,2014 State Representative Liberty Union Primary Orleans 2 District
67737,2014 State Representative Liberty Union Primary Bennington-Rutland District
67738,2014 State Representative Liberty Union Primary Windham-Bennington District
67739,2014 State Representative Liberty Union Primary Windham 4 District
67740,2014 State Representative Liberty Union Primary Washington 7 District
67741,2014 State Representative Liberty Union Primary Washington 5 District
67742,2014 State Representative Liberty Union Primary Orleans-Lamoille District
67743,2014 State Representative Liberty Union Primary Lamoille-Washington District
67744,2014 State Representative Liberty Union Primary Franklin 7 District
67745,2014 State Representative Liberty Union Primary Chittenden 8-1 District
67746,2014 State Representative Liberty Union Primary Chittenden 8-2 District
67747,2014 State Representative Liberty Union Primary Chittenden 8-3 District
67748,2014 State Representative Liberty Union Primary Franklin 2 District
67749,2014 State Representative Liberty Union Primary Franklin 1 District
67750,2014 State Representative Liberty Union Primary Orange-Caledonia District
67751,2014 State Representative Liberty Union Primary Windham 1 District
67752,2014 State Representative Liberty Union Primary Windham 6 District
67753,2014 State Representative Liberty Union Primary Caledonia 2 District
67754,2014 State Representative Liberty Union Primary Windsor 4-2 District
67755,2014 State Representative Liberty Union Primary Windsor 1 District
67756,2014 State Representative Liberty Union Primary Chittenden 4-2 District
67757,2014 State Representative Liberty Union Primary Rutland 1 District
67758,2014 State Representative Liberty Union Primary Windham-Bennington-Windsor District
67759,2014 State Representative Liberty Union Primary Chittenden 3 District
67760,2014 State Representative Liberty Union Primary Rutland-Windsor 2 District
67761,2014 State Representative Liberty Union Primary Windham 5 District
67762,2014 State Representative Liberty Union Primary Addison 1 District
67763,2014 State Representative Liberty Union Primary Rutland-Bennington District
67764,2014 State Representative Liberty Union Primary Chittenden 10 District
67765,2014 State Representative Liberty Union Primary Washington 4 District
67766,2014 State Representative Liberty Union Primary Windsor-Orange 2 District
67767,2014 State Representative Liberty Union Primary Windsor 5 District
67768,2014 State Representative Liberty Union Primary Bennington 1 District
67769,2014 State Representative Liberty Union Primary Chittenden 1 District
67770,2014 State Representative Liberty Union Primary Windsor-Orange 1 District
67771,2014 State Representative Liberty Union Primary Rutland 5-1 District
67772,2014 State Representative Liberty Union Primary Rutland 5-2 District
67773,2014 State Representative Liberty Union Primary Rutland 5-3 District
67774,2014 State Representative Liberty Union Primary Rutland 5-4 District
67775,2014 State Representative Liberty Union Primary Rutland 4 District
67776,2014 State Representative Liberty Union Primary Franklin 3-1 District
67777,2014 State Representative Liberty Union Primary Franklin 3-2 District
67778,2014 State Representative Liberty Union Primary Chittenden 5-2 District
67779,2014 State Representative Liberty Union Primary Caledonia 3 District
67780,2014 State Representative Liberty Union Primary Bennington 3 District
67781,2014 State Representative Liberty Union Primary Chittenden 5-1 District
67782,2014 State Representative Liberty Union Primary Franklin 4 District
67783,2014 State Representative Liberty Union Primary Chittenden 7-1 District
67784,2014 State Representative Liberty Union Primary Chittenden 7-2 District
67785,2014 State Representative Liberty Union Primary Chittenden 7-3 District
67786,2014 State Representative Liberty Union Primary Chittenden 7-4 District
67787,2014 State Representative Liberty Union Primary Windsor 3-2 District
67788,2014 State Representative Liberty Union Primary Lamoille 1 District
67789,2014 State Representative Liberty Union Primary Chittenden 2 District
67790,2014 State Representative Progressive Primary Addison 3 District
67791,2014 State Representative Progressive Primary Orleans-Caledonia District
67792,2014 State Representative Progressive Primary Grand Isle-Chittenden District
67793,2014 State Representative Progressive Primary Windsor 3-1 District
67794,2014 State Representative Progressive Primary Bennington 4 District
67795,2014 State Representative Progressive Primary Windham 3 District
67796,2014 State Representative Progressive Primary Franklin 6 District
67797,2014 State Representative Progressive Primary Windsor 4-1 District
67798,2014 State Representative Progressive Primary Caledonia 1 District
67799,2014 State Representative Progressive Primary Washington 3 District
67800,2014 State Representative Progressive Primary Washington 2 District
67801,2014 State Representative Progressive Primary Lamoille 2 District
67802,2014 State Representative Progressive Primary Bennington 2-1 District
67803,2014 State Representative Progressive Primary Bennington 2-2 District
67804,2014 State Representative Progressive Primary Addison-Rutland District
67805,2014 State Representative Progressive Primary Franklin 5 District
67806,2014 State Representative Progressive Primary Washington 1 District
67807,2014 State Representative Progressive Primary Windsor-Rutland District
67808,2014 State Representative Progressive Primary Essex-Caledonia-Orleans District
67809,2014 State Representative Progressive Primary Washington-Chittenden District
67810,2014 State Representative Progressive Primary Orange 2 District
67811,2014 State Representative Progressive Primary Orange-Washington-Addison District
67812,2014 State Representative Progressive Primary Rutland 6 District
67813,2014 State Representative Progressive Primary Windham 2-1 District
67814,2014 State Representative Progressive Primary Windham 2-2 District
67815,2014 State Representative Progressive Primary Windham 2-3 District
67816,2014 State Representative Progressive Primary Rutland-Windsor 1 District
67817,2014 State Representative Progressive Primary Addison 5 District
67818,2014 State Representative Progressive Primary Addison 4 District
67819,2014 State Representative Progressive Primary Orleans 1 District
67820,2014 State Representative Progressive Primary Essex-Caledonia District
67821,2014 State Representative Progressive Primary Caledonia 4 District
67822,2014 State Representative Progressive Primary Chittenden 6-1 District
67823,2014 State Representative Progressive Primary Chittenden 6-2 District
67824,2014 State Representative Progressive Primary Chittenden 6-3 District
67825,2014 State Representative Progressive Primary Chittenden 6-4 District
67826,2014 State Representative Progressive Primary Chittenden 6-5 District
67827,2014 State Representative Progressive Primary Chittenden 6-6 District
67828,2014 State Representative Progressive Primary Chittenden 6-7 District
67829,2014 State Representative Progressive Primary Caledonia-Washington District
67830,2014 State Representative Progressive Primary Washington 6 District
67831,2014 State Representative Progressive Primary Lamoille 3 District
67832,2014 State Representative Progressive Primary Rutland 3 District
67833,2014 State Representative Progressive Primary Windsor 2 District
67834,2014 State Representative Progressive Primary Chittenden 4-1 District
67835,2014 State Representative Progressive Primary Orange 1 District
67836,2014 State Representative Progressive Primary Rutland 2 District
67837,2014 State Representative Progressive Primary Chittenden 9-1 District
67838,2014 State Representative Progressive Primary Chittenden 9-2 District
67839,2014 State Representative Progressive Primary Addison 2 District
67840,2014 State Representative Progressive Primary Orleans 2 District
67841,2014 State Representative Progressive Primary Bennington-Rutland District
67842,2014 State Representative Progressive Primary Windham-Bennington District
67843,2014 State Representative Progressive Primary Windham 4 District
67844,2014 State Representative Progressive Primary Washington 7 District
67845,2014 State Representative Progressive Primary Washington 5 District
67846,2014 State Representative Progressive Primary Orleans-Lamoille District
67847,2014 State Representative Progressive Primary Lamoille-Washington District
67848,2014 State Representative Progressive Primary Franklin 7 District
67849,2014 State Representative Progressive Primary Chittenden 8-1 District
67850,2014 State Representative Progressive Primary Chittenden 8-2 District
67851,2014 State Representative Progressive Primary Chittenden 8-3 District
67852,2014 State Representative Progressive Primary Franklin 2 District
67853,2014 State Representative Progressive Primary Franklin 1 District
67854,2014 State Representative Progressive Primary Orange-Caledonia District
67855,2014 State Representative Progressive Primary Windham 1 District
67856,2014 State Representative Progressive Primary Windham 6 District
67857,2014 State Representative Progressive Primary Caledonia 2 District
67858,2014 State Representative Progressive Primary Windsor 4-2 District
67859,2014 State Representative Progressive Primary Windsor 1 District
67860,2014 State Representative Progressive Primary Chittenden 4-2 District
67861,2014 State Representative Progressive Primary Rutland 1 District
67862,2014 State Representative Progressive Primary Windham-Bennington-Windsor District
