City/Town,Ward,Pct,"Peter Welch","Paul D. Beaudry","Gus Jaccaci","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-3",548,297,33,19,0,0,897
"Rutland City",-,"Rutland 5-4",816,452,26,12,0,0,"1,306"
"Rutland Town",,,"1,001",863,35,12,0,0,"1,911"
Ryegate,,,239,170,16,6,0,0,431
Salisbury,,,256,145,4,1,0,0,406
Sandgate,,,93,59,10,2,0,0,164
Searsburg,,,17,17,5,3,0,0,42
Shaftsbury,,,"1,076",511,41,21,0,0,"1,649"
Sharon,,,370,133,20,3,0,0,526
Sheffield,,,127,84,8,1,0,0,220
Shelburne,-,"Chittenden 5-1","1,456",555,27,14,0,0,"2,052"
Shelburne,-,"Chittenden 5-2","1,086",538,19,15,0,0,"1,658"
Sheldon,,,387,254,4,3,0,25,673
Shoreham,,,362,170,12,5,0,12,561
Shrewsbury,,,313,203,12,3,0,10,541
"S. Burlington",-,"Chittenden 3-10","1,178",405,19,16,2,33,"1,653"
"S. Burlington",-,"Chittenden 3-7","1,253",434,18,16,2,39,"1,762"
"S. Burlington",-,"Chittenden 3-8","1,682",807,24,16,2,51,"2,582"
"S. Burlington",-,"Chittenden 3-9","1,047",502,26,15,2,39,"1,631"
"S. Hero",,,668,269,6,2,0,16,961
Springfield,-,"Windsor 1-1",20,15,1,0,1,3,40
Springfield,-,"Windsor 1-2","1,709",977,79,32,1,48,"2,846"
"St. Albans City",,,"1,246",638,35,14,0,0,"1,933"
"St. Albans Town",,,"1,258",954,28,13,0,0,"2,253"
"St. George",,,160,89,3,4,0,0,256
"St. Johnsbury",,,"1,297",966,43,33,0,0,"2,339"
Stamford,,,139,123,8,28,0,10,308
Stannard,,,57,19,5,1,0,2,84
Starksboro,,,496,204,10,12,3,13,738
Stockbridge,,,215,101,8,4,0,5,333
Stowe,,,"1,283",664,33,14,1,43,"2,038"
Strafford,,,451,80,19,8,0,11,569
Stratton,,,37,59,1,0,0,2,99
Sudbury,,,148,104,9,3,0,5,269
Sunderland,,,239,120,9,2,0,7,377
Sutton,,,158,162,1,6,0,8,335
Swanton,,,"1,027",916,21,7,2,35,"2,008"
Thetford,,,859,203,100,8,0,14,"1,184"
Tinmouth,,,150,98,10,2,0,0,260
Topsham,,,191,205,14,5,0,9,424
Townshend,,,324,136,6,27,0,16,509
Troy,,,269,164,6,2,1,4,446
Tunbridge,,,408,201,22,7,0,13,651
Underhill,,,"1,050",497,25,6,1,34,"1,613"
Vergennes,,,644,301,12,7,0,13,977
Vernon,,,360,482,16,12,1,40,911
Vershire,,,147,77,16,6,0,9,255
Victory,,,16,17,2,2,0,1,38
Waitsfield,,,625,211,21,7,1,29,894
Walden,,,278,150,9,8,0,16,461
Wallingford,,,515,349,30,17,0,27,938
Waltham,,,160,71,2,2,0,2,237
Wardsboro,,,177,106,4,16,0,10,313
Warren,,,599,175,24,19,0,24,841
Washington,,,230,157,15,5,0,5,412
Waterbury,,,"1,577",570,34,19,0,59,"2,259"
Waterford,,,256,278,17,4,0,18,573
Waterville,,,158,118,4,4,0,4,288
Weathersfield,,,642,362,27,15,1,22,"1,069"
Wells,,,164,189,8,19,0,10,390
"W. Fairlee",,,100,55,18,33,0,6,212
"W. Haven",,,64,41,4,1,0,1,111
"W. Rutland",,,409,310,18,10,1,16,764
"W. Windsor",,,376,165,9,7,0,7,564
Westfield,,,127,83,5,4,0,5,224
Westford,,,674,315,14,5,1,26,"1,035"
Westminster,-,"Windham 4",48,13,2,1,0,1,65
Westminster,-,"Windham 5",913,255,20,32,8,21,"1,249"
Westmore,,,102,67,3,2,0,3,177
Weston,,,212,104,6,19,0,3,344
Weybridge,,,333,115,10,4,0,5,467
Wheelock,,,141,111,7,4,0,5,268
Whiting,,,118,43,6,2,0,5,174
Whitingham,,,218,169,15,5,0,13,420
Williamstown,,,696,466,26,13,1,15,"1,217"
Williston,,,"2,627","1,443",41,21,7,87,"4,226"
Wilmington,,,429,266,36,13,2,24,770
Windham,,,105,48,3,16,0,2,174
Windsor,,,756,271,35,13,0,12,"1,087"
Winhall,,,214,148,10,14,0,21,407
Winooski,,,"1,360",430,40,36,1,36,"1,903"
Wolcott,,,435,204,12,9,0,23,683
Woodbury,,,280,153,4,10,0,8,455
Woodford,,,106,35,7,1,0,5,154
Woodstock,,,"1,098",365,36,11,0,32,"1,542"
Worcester,,,330,102,15,11,0,16,474
TOTALS,,,"154,006","76,403","4,704","3,222",42,"1,194","239,571"
