City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
Newbury,-,"Town Office",1,0,0,1
Newbury,-,"West River Village",1,0,0,1
Newfane,,,6,0,0,6
"Newport City",,,1,0,0,1
"Newport Town",,,2,0,0,2
"N. Hero",,,3,0,0,3
Northfield,,,1,0,0,1
Norwich,,,3,0,0,3
Panton,,,1,0,0,1
Peru,,,2,0,0,2
Pittsford,,,1,0,0,1
Plainfield,,,1,0,0,1
Proctor,,,1,0,0,1
Randolph,,,1,0,0,1
Richmond,,,1,0,0,1
Rochester,,,1,0,0,1
Rockingham,,,3,0,0,3
Roxbury,,,3,0,0,3
Royalton,,,2,0,0,2
Rupert,,,1,0,0,1
"Rutland Town",,,2,0,0,2
Ryegate,,,1,0,0,1
Shaftsbury,,,3,0,0,3
Shelburne,-,"Chittenden 5-1",1,0,0,1
Shelburne,-,"Chittenden 5-2",0,0,0,0
Shrewsbury,,,3,0,0,3
"S. Burlington",-,"Chittenden 3-10",0,0,0,0
"S. Burlington",-,"Chittenden 3-7",0,0,0,0
"S. Burlington",-,"Chittenden 3-8",1,0,0,1
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
"S. Hero",,,1,0,0,1
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",3,0,0,3
"St. Albans City",,,3,0,0,3
"St. Johnsbury",,,2,0,0,2
Stowe,,,2,0,0,2
Strafford,,,3,0,0,3
Stratton,,,1,0,0,1
Thetford,,,1,0,0,1
Topsham,,,1,0,0,1
Underhill,,,2,0,0,2
Waitsfield,,,1,0,0,1
Walden,,,2,0,0,2
Wardsboro,,,1,0,0,1
Warren,,,1,0,0,1
Washington,,,1,0,0,1
Waterbury,,,1,0,0,1
Weathersfield,,,2,0,0,2
"W. Windsor",,,1,0,0,1
Westfield,,,3,0,0,3
Westford,,,1,0,0,1
Westminster,-,"Windham Ward 4",1,0,0,1
Westminster,-,"Windham Ward 5",6,0,0,6
Weston,,,1,0,0,1
Williston,,,1,0,0,1
Wilmington,,,4,0,0,4
Windsor,,,2,0,0,2
Winooski,,,2,0,0,2
Woodstock,,,2,0,0,2
Worcester,,,1,0,0,1
TOTALS,,,258,0,0,258
