City/Town,Ward,Pct,"Phil Scott","Dean Corren","Marina Brown",Write-Ins,Blanks,"Total Votes Cast"
Randolph,,,"1,008",496,21,1,24,"1,550"
Reading,,,131,94,9,0,5,239
Readsboro,,,108,117,6,0,11,242
Richford,,,317,139,16,2,8,482
Richmond,,,951,686,12,0,59,"1,708"
Ripton,,,85,155,2,0,3,245
Rochester,,,220,198,6,0,7,431
Rockingham,,,503,620,40,0,37,"1,200"
Roxbury,,,167,80,0,0,1,248
Royalton,,,542,275,20,0,24,861
Rupert,,,154,108,15,0,15,292
"Rutland City",-,"Rutland 5-1","1,105",373,23,1,45,"1,547"
"Rutland City",-,"Rutland 5-2",782,338,23,2,17,"1,162"
"Rutland City",-,"Rutland 5-3",459,194,30,1,16,700
"Rutland City",-,"Rutland 5-4",731,323,29,2,16,"1,101"
"Rutland Town",,,"1,248",343,32,3,37,"1,663"
Ryegate,,,290,102,3,0,6,401
Salisbury,,,200,108,4,0,3,315
Sandgate,,,65,60,3,0,2,130
Searsburg,,,14,9,7,0,2,32
Shaftsbury,,,582,455,32,0,39,"1,108"
Sharon,,,252,200,6,0,6,464
Sheffield,,,141,36,2,1,2,182
Shelburne,-,"Chittenden 5-1",879,730,11,0,41,"1,661"
Shelburne,-,"Chittenden 5-2",806,475,4,1,48,"1,334"
Sheldon,,,363,102,8,0,5,478
Shoreham,,,258,147,5,0,6,416
Shrewsbury,,,303,149,8,0,8,468
"S. Burlington",-,"Chittenden 7-1",811,610,9,1,46,"1,477"
"S. Burlington",-,"Chittenden 7-2",985,627,14,1,28,"1,655"
"S. Burlington",-,"Chittenden 7-3",614,572,15,0,32,"1,233"
"S. Burlington",-,"Chittenden 7-4",823,493,20,3,29,"1,368"
"S. Hero",,,503,257,7,3,25,795
Springfield,-,"Windsor 3-1",58,23,3,0,0,84
Springfield,-,"Windsor 3-2","1,223",725,51,1,32,"2,032"
"St. Albans City",,,"1,081",478,39,0,50,"1,648"
"St. Albans Town",-,"Franklin 3-1",447,132,10,0,10,599
"St. Albans Town",-,"Franklin 3-2",994,283,15,0,17,"1,309"
"St. George",,,134,68,1,0,3,206
"St. Johnsbury",,,"1,362",541,35,1,21,"1,960"
Stamford,,,107,113,17,0,22,259
Stannard,,,42,40,2,0,3,87
Starksboro,,,392,289,12,1,18,712
Stockbridge,,,151,78,1,0,5,235
Stowe,,,"1,016",437,21,2,27,"1,503"
Strafford,,,163,294,8,1,11,477
Stratton,,,52,27,0,0,3,82
Sudbury,,,143,72,1,0,1,217
Sunderland,-,"Bennington 3",31,38,6,0,2,77
Sunderland,-,"Bennington 4",136,78,9,0,8,231
Sutton,,,174,66,5,0,5,250
Swanton,,,"1,214",336,28,3,18,"1,599"
Thetford,,,394,638,14,0,40,"1,086"
Tinmouth,-,"Rutland 2",35,21,0,0,0,56
Tinmouth,-,Rutland-Bennington,92,53,4,0,3,152
Topsham,,,217,69,3,0,3,292
Townshend,,,158,175,8,1,18,360
Troy,-,"Orleans 2",80,23,3,0,1,107
Troy,-,Orleans-Lamoille,208,67,7,0,6,288
Tunbridge,,,377,198,6,0,9,590
Underhill,,,776,511,11,0,55,"1,353"
Vergennes,,,526,262,10,0,10,808
Vernon,,,392,153,9,0,13,567
Vershire,,,112,94,6,0,3,215
Victory,,,27,3,1,0,0,31
Waitsfield,,,506,272,14,1,19,812
Walden,,,233,121,6,1,6,367
Wallingford,,,289,202,14,0,22,527
Waltham,,,126,64,0,0,6,196
Wardsboro,,,134,125,8,0,6,273
Warren,,,390,291,13,0,20,714
Washington,,,301,68,0,1,5,375
Waterbury,,,"1,217",539,18,0,17,"1,791"
Waterford,,,384,93,11,0,7,495
Waterville,,,159,43,0,0,0,202
Weathersfield,,,563,297,17,0,16,893
Wells,,,240,107,12,0,9,368
"W. Fairlee",,,85,68,7,0,2,162
"W. Haven",,,66,22,1,0,3,92
"W. Rutland",,,455,141,15,0,7,618
"W. Windsor",,,255,196,21,0,6,478
Westfield,,,136,48,3,0,2,189
Westford,,,531,271,9,1,20,832
Westminster,-,"Windham 3",24,17,1,0,1,43
Westminster,-,"Windham 4",321,581,27,0,12,941
Westmore,,,101,36,4,0,3,144
Weston,,,140,124,6,0,3,273
Weybridge,,,208,190,2,0,6,406
Wheelock,,,163,49,4,0,6,222
Whiting,,,87,32,0,0,0,119
Whitingham,-,"Windham 6",184,126,14,0,16,340
Whitingham,-,Windham-Bennington,4,5,0,0,0,9
Williamstown,,,831,167,9,2,8,"1,017"
Williston,,,"2,068",978,23,4,81,"3,154"
Wilmington,,,272,255,20,1,23,571
Windham,,,67,67,9,0,2,145
Windsor,,,422,453,24,1,15,915
Winhall,,,180,105,2,0,10,297
Winooski,,,713,718,17,3,53,"1,504"
Wolcott,,,404,146,4,1,4,559
Woodbury,,,244,113,8,0,1,366
Woodford,,,45,60,2,0,7,114
Woodstock,,,617,554,15,0,33,"1,219"
Worcester,,,230,169,8,0,4,411
TOTALS,,,"118,949","69,005","3,347",60,"2,383","193,744"
