City/Town,Ward,Pct,"Jeb Spaulding","John V. Labarge","Claude Bouchard","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
Maidstone,,,13,29,3,0,0,0,45
Manchester,,,601,817,68,29,2,0,"1,517"
Marlboro,,,277,71,28,69,1,0,446
Marshfield,,,510,189,38,11,0,0,748
Mendon,,,219,241,17,6,0,0,483
Middlebury,,,"1,751",857,96,34,0,0,"2,738"
Middlesex,,,622,173,23,8,1,0,827
"Middletown Springs",,,169,130,21,7,0,0,327
Milton,-,"Chittenden 9","1,253","1,199",101,29,4,0,"2,586"
Milton,-,"Grand Isle-Chittenden 1-1",182,242,10,3,0,0,437
Monkton,,,503,289,30,16,0,0,838
Montgomery,,,224,139,36,9,0,0,408
Montpelier,,,"3,055",668,109,31,8,0,"3,871"
Moretown,,,553,196,31,8,0,0,788
Morgan,,,120,146,10,4,1,0,281
Morristown,,,"1,188",551,87,19,1,0,"1,846"
"Mount Holly",,,245,205,42,13,0,0,505
"Mount Tabor",,,38,22,4,2,0,0,66
"New Haven",,,400,310,31,11,1,0,753
Newark,,,92,74,16,5,0,0,187
Newbury,-,"Center Town House",49,68,8,1,0,0,126
Newbury,-,"Town Office",217,138,34,8,0,0,397
Newbury,-,"West River Village",87,103,10,7,0,0,207
Newfane,,,469,235,27,51,0,0,782
"Newport City",,,665,548,59,15,0,0,"1,287"
"Newport Town",,,259,178,21,4,0,0,462
"N. Hero",,,93,310,3,5,0,0,411
Northfield,,,"1,281",403,44,16,2,0,"1,746"
Norton,,,18,34,5,1,0,0,58
Norwich,,,"1,283",327,52,6,0,0,"1,668"
Orange,,,175,169,11,4,0,0,359
Orwell,,,235,251,14,11,0,0,511
Panton,,,136,132,11,2,0,0,281
Pawlet,,,193,211,21,8,0,0,433
Peacham,,,205,126,12,7,0,0,350
Peru,,,57,83,5,7,0,0,152
Pittsfield,,,91,88,12,3,0,0,194
Pittsford,,,520,488,38,11,0,0,"1,057"
Plainfield,,,455,119,33,15,0,0,622
Plymouth,,,96,116,16,3,2,0,233
Pomfret,,,286,153,18,6,0,0,463
Poultney,,,565,482,75,18,1,0,"1,141"
Pownal,,,637,514,111,65,1,0,"1,328"
Proctor,,,385,234,27,12,0,0,658
Putney,,,681,188,74,81,0,0,"1,024"
Randolph,,,"1,072",647,98,13,1,0,"1,831"
Reading,,,173,104,18,5,0,0,300
Readsboro,,,140,81,14,12,0,0,247
Richford,,,501,259,58,17,0,0,835
Richmond,,,"1,133",565,106,9,1,0,"1,814"
Ripton,,,184,81,24,3,0,0,292
Rochester,,,317,148,35,14,0,0,514
Rockingham,,,"1,037",407,96,63,4,0,"1,607"
Roxbury,,,207,67,17,4,0,0,295
Royalton,,,540,326,80,18,0,0,964
Rupert,,,93,122,17,4,0,0,236
"Rutland City",-,"Rutland 5-1",979,642,54,25,1,0,"1,701"
"Rutland City",-,"Rutland 5-2",860,525,83,25,4,0,"1,497"
"Rutland City",-,"Rutland 5-3",537,320,55,17,4,0,933
"Rutland City",-,"Rutland 5-4",754,505,79,23,3,0,"1,364"
"Rutland Town",,,813,962,46,20,1,0,"1,842"
Ryegate,,,182,177,15,7,0,0,381
Salisbury,,,209,203,15,5,0,0,432
Sandgate,,,69,49,10,10,0,0,138
Searsburg,,,8,18,6,5,0,0,37
Shaftsbury,,,833,647,84,52,0,0,"1,616"
Sharon,,,270,153,22,14,1,0,460
Sheffield,,,74,93,10,3,0,0,180
Shelburne,-,"Chittenden 5-1","1,114",671,38,10,1,0,"1,834"
Shelburne,-,"Chittenden 5-2",893,620,37,9,1,0,"1,560"
Sheldon,,,306,178,31,10,1,0,526
Shoreham,,,261,197,27,9,0,0,494
Shrewsbury,,,296,212,28,10,1,0,547
"S. Burlington",-,"Chittenden 3-10",920,553,59,14,1,0,"1,547"
"S. Burlington",-,"Chittenden 3-7",803,420,52,11,0,0,"1,286"
"S. Burlington",-,"Chittenden 3-8",962,542,52,7,3,0,"1,566"
"S. Burlington",-,"Chittenden 3-9","1,105",741,38,8,2,0,"1,894"
"S. Hero",,,294,593,13,2,0,0,902
Springfield,-,"Windsor 1-1",15,6,0,1,0,0,22
Springfield,-,"Windsor 1-2","1,792","1,015",180,79,6,0,"3,072"
"St. Albans City",,,"1,249",622,108,27,1,0,"2,007"
"St. Albans Town",,,"1,046",651,87,20,0,0,"1,804"
"St. George",,,136,92,12,2,0,0,242
"St. Johnsbury",,,906,988,84,30,5,0,"2,013"
Stamford,,,125,126,11,6,0,0,268
Stannard,,,55,21,11,3,0,0,90
Starksboro,,,398,224,53,16,1,0,692
Stockbridge,,,125,90,15,6,0,0,236
Stowe,,,"1,109",789,56,18,1,0,"1,973"
Strafford,,,365,122,22,8,0,0,517
Stratton,,,23,44,1,3,0,0,71
Sudbury,,,120,122,10,4,0,0,256
Sunderland,,,156,130,16,12,0,0,314
Sutton,,,128,143,30,4,0,0,305
Swanton,,,"1,094",640,69,15,1,0,"1,819"
Thetford,,,752,280,45,26,0,0,"1,103"
Tinmouth,,,132,92,21,3,0,0,248
Topsham,,,163,207,22,8,1,0,401
Townshend,,,270,206,29,33,0,0,538
Troy,,,196,140,27,9,0,0,372
Tunbridge,,,309,182,22,11,0,0,524
Underhill,,,869,484,150,9,0,0,"1,512"
Vergennes,,,495,341,49,22,0,0,907
Vernon,,,300,449,37,42,1,0,829
Vershire,,,148,87,15,2,0,0,252
Victory,,,17,22,6,0,0,0,45
Waitsfield,,,598,221,28,11,0,0,858
Walden,,,205,122,40,2,0,0,369
Wallingford,,,435,369,47,21,0,0,872
Waltham,,,123,101,8,3,0,0,235
Wardsboro,,,121,108,17,13,0,0,259
Warren,,,513,196,30,30,0,0,769
Washington,,,257,113,10,4,0,0,384
Waterbury,,,"1,535",472,52,14,7,0,"2,080"
Waterford,,,181,304,10,7,0,0,502
Waterville,,,136,93,13,2,0,0,244
Weathersfield,,,599,408,72,30,0,0,"1,109"
Wells,,,141,168,16,8,0,0,333
"W. Fairlee",,,114,67,19,2,0,0,202
"W. Haven",,,40,51,5,2,0,0,98
"W. Rutland",,,427,275,62,12,0,0,776
"W. Windsor",,,231,208,20,12,0,0,471
Westfield,,,98,69,21,4,0,0,192
Westford,,,479,291,60,9,0,0,839
Westminster,-,"Windham Ward 4",37,10,5,3,0,0,55
Westminster,-,"Windham Ward 5",745,284,59,56,1,0,"1,145"
Westmore,,,7,83,19,4,0,0,113
Weston,,,139,126,21,6,0,0,292
Weybridge,,,249,161,8,3,0,0,421
Wheelock,,,96,106,10,3,0,0,215
Whiting,,,100,52,13,2,0,0,167
Whitingham,,,142,250,37,37,0,0,466
Williamstown,,,718,451,36,22,2,0,"1,229"
Williston,,,"2,019","1,500",116,22,2,0,"3,659"
Wilmington,,,340,393,70,87,0,0,890
Windham,,,60,60,13,6,0,0,139
Windsor,,,702,315,62,22,0,0,"1,101"
Winhall,,,105,172,19,13,0,0,309
Winooski,,,"1,028",425,113,19,0,0,"1,585"
Wolcott,,,328,153,28,10,0,0,519
Woodbury,,,239,116,16,7,0,0,378
Woodford,,,76,41,13,12,0,0,142
Woodstock,,,807,483,63,27,3,0,"1,383"
Worcester,,,339,87,19,5,0,0,450
TOTALS,,,"127,459","80,229","10,757","4,199",154,0,"222,798"
