City/Town,Ward,Pct,"Brian E. Dubie","Peter Shumlin","Anthony Pollina","Sally Ann Jones",Write-Ins,Blanks,"Total Votes Cast"
Poultney,,,544,399,170,53,0,0,"1,166"
Pownal,,,554,584,128,95,0,0,"1,361"
Proctor,,,271,231,154,11,0,0,667
Putney,,,176,610,281,11,1,0,"1,079"
Randolph,,,768,531,512,43,0,0,"1,854"
Reading,,,117,121,64,7,0,0,309
Readsboro,,,103,125,13,12,0,0,253
Richford,,,323,325,169,32,1,0,850
Richmond,,,716,681,449,22,0,0,"1,868"
Ripton,,,79,124,82,11,0,0,296
Rochester,,,143,155,232,12,0,0,542
Rockingham,,,416,885,296,37,8,0,"1,642"
Roxbury,,,95,85,113,9,0,0,302
Royalton,,,370,266,334,24,1,0,995
Rupert,,,108,86,36,9,0,0,239
"Rutland City",-,"Rutland 5-1",818,580,334,22,1,0,"1,755"
"Rutland City",-,"Rutland 5-2",642,556,317,30,3,0,"1,548"
"Rutland City",-,"Rutland 5-3",395,343,203,18,3,0,962
"Rutland City",-,"Rutland 5-4",596,462,321,25,0,0,"1,404"
"Rutland Town",,,"1,050",492,334,20,0,0,"1,896"
Ryegate,,,179,79,124,5,0,0,387
Salisbury,,,215,147,77,6,0,0,445
Sandgate,,,54,59,21,7,0,0,141
Searsburg,,,21,9,3,6,0,0,39
Shaftsbury,,,706,679,224,52,2,0,"1,663"
Sharon,,,143,155,170,8,0,0,476
Sheffield,,,94,38,48,4,0,0,184
Shelburne,-,"Chittenden 5-1",783,726,377,6,2,0,"1,894"
Shelburne,-,"Chittenden 5-2",741,552,298,8,0,0,"1,599"
Sheldon,,,240,168,107,10,0,0,525
Shoreham,,,213,170,116,9,1,0,509
Shrewsbury,,,217,180,140,16,0,0,553
"S. Burlington",-,"Chittenden 3-10",729,495,333,14,1,0,"1,572"
"S. Burlington",-,"Chittenden 3-7",507,489,298,8,2,0,"1,304"
"S. Burlington",-,"Chittenden 3-8",675,580,337,10,1,0,"1,603"
"S. Burlington",-,"Chittenden 3-9",934,639,363,9,1,0,"1,946"
"S. Hero",,,393,283,203,11,1,0,891
Springfield,-,"Windsor 1-1",7,12,3,0,0,0,22
Springfield,-,"Windsor 1-2","1,078","1,354",606,72,12,0,"3,122"
"St. Albans City",,,865,758,397,33,1,0,"2,054"
"St. Albans Town",,,864,609,341,30,0,0,"1,844"
"St. George",,,101,72,72,0,0,0,245
"St. Johnsbury",,,"1,099",425,502,18,6,0,"2,050"
Stamford,,,130,125,11,11,0,0,277
Stannard,,,28,33,29,3,0,0,93
Starksboro,,,260,218,238,14,1,0,731
Stockbridge,,,100,87,45,7,0,0,239
Stowe,,,"1,066",467,487,13,0,0,"2,033"
Strafford,,,115,228,180,6,0,0,529
Stratton,,,49,15,8,1,0,0,73
Sudbury,,,127,78,49,6,0,0,260
Sunderland,,,145,119,46,11,0,0,321
Sutton,,,168,63,82,2,0,0,315
Swanton,,,899,564,364,19,0,0,"1,846"
Thetford,,,304,406,417,16,0,0,"1,143"
Tinmouth,,,103,95,44,10,0,0,252
Topsham,,,239,80,77,10,1,0,407
Townshend,,,189,235,108,17,1,0,550
Troy,,,163,86,121,10,0,0,380
Tunbridge,,,211,154,164,15,0,0,544
Underhill,,,612,476,438,30,0,0,"1,556"
Vergennes,,,16,258,237,413,0,0,924
Vernon,,,459,297,88,15,0,0,859
Vershire,,,100,65,86,5,0,0,256
Victory,,,29,7,9,1,0,0,46
Waitsfield,,,280,260,329,12,0,0,881
Walden,,,141,93,132,11,0,0,377
Wallingford,,,393,309,180,18,1,0,901
Waltham,,,104,69,62,3,0,0,238
Wardsboro,,,108,89,65,7,0,0,269
Warren,,,222,213,346,12,0,0,793
Washington,,,160,106,121,6,0,0,393
Waterbury,,,794,674,620,25,1,0,"2,114"
Waterford,,,326,102,79,8,0,0,515
Waterville,,,117,65,74,2,0,0,258
Weathersfield,,,429,442,234,31,0,0,"1,136"
Wells,,,165,115,46,10,0,0,336
"W. Fairlee",,,81,59,67,7,0,0,214
"W. Haven",,,50,28,19,3,0,0,100
"W. Rutland",,,356,255,168,17,0,0,796
"W. Windsor",,,190,172,106,7,0,0,475
Westfield,,,75,40,80,1,0,0,196
Westford,,,361,230,266,10,0,0,867
Westminster,-,"Windham Ward 4",13,32,10,4,0,0,59
Westminster,-,"Windham Ward 5",258,656,250,19,0,0,"1,183"
Westmore,,,81,37,55,3,0,0,176
Weston,,,143,101,46,9,0,0,299
Weybridge,,,171,165,99,2,0,0,437
Wheelock,,,109,45,64,2,0,0,220
Whiting,,,63,65,36,4,0,0,168
Whitingham,,,252,114,99,20,0,0,485
Williamstown,,,648,266,315,11,0,0,"1,240"
Williston,,,"1,903","1,027",833,23,2,0,"3,788"
Wilmington,,,440,213,250,38,0,0,941
Windham,,,60,47,32,3,0,0,142
Windsor,,,333,486,278,33,1,0,"1,131"
Winhall,,,190,82,40,10,0,0,322
Winooski,,,628,599,411,20,0,0,"1,658"
Wolcott,,,183,153,183,11,0,0,530
Woodbury,,,151,101,123,7,0,0,382
Woodford,,,40,67,24,10,0,0,141
Woodstock,,,526,551,314,23,5,0,"1,419"
Worcester,,,128,116,208,2,1,0,455
TOTALS,,,"94,044","73,501","56,564","4,310",116,0,"228,535"
