election_value,title,year,election_type,district,party,office
67385,2014 Assistant Judge Republican Primary Lamoille County,2014,Primary,Lamoille County,Republican,Local Election
67386,2014 Assistant Judge Republican Primary Rutland County,2014,Primary,Rutland County,Republican,Local Election
67387,2014 Assistant Judge Republican Primary Essex County,2014,Primary,Essex County,Republican,Local Election
67388,2014 Assistant Judge Republican Primary Chittenden County,2014,Primary,Chittenden County,Republican,Local Election
67389,2014 Assistant Judge Republican Primary Orange County,2014,Primary,Orange County,Republican,Local Election
67390,2014 Attorney General Democratic Primary,2014,Primary,,Democratic,Attorney General
67391,2014 Attorney General Liberty Union Primary,2014,Primary,,Liberty Union,Attorney General
67392,2014 Attorney General Progressive Primary,2014,Primary,,Progressive,Attorney General
67394,2014 Auditor Democratic Primary,2014,Primary,,Democratic,Auditor
67395,2014 Auditor Liberty Union Primary,2014,Primary,,Liberty Union,Auditor
67396,2014 Auditor Progressive Primary,2014,Primary,,Progressive,Auditor
67397,2014 Auditor Republican Primary,2014,Primary,,Republican,Auditor
67398,2014 Governor Democratic Primary,2014,Primary,,Democratic,Governor
67399,2014 Governor Liberty Union Primary,2014,Primary,,Liberty Union,Governor
67400,2014 Governor Progressive Primary,2014,Primary,,Progressive,Governor
67401,2014 Governor Republican Primary,2014,Primary,,Republican,Governor
67402,2014 High Bailiff Democratic Primary Addison County,2014,Primary,Addison County,Democratic,Local Election
67403,2014 High Bailiff Democratic Primary Orleans County,2014,Primary,Orleans County,Democratic,Local Election
67404,2014 High Bailiff Democratic Primary Grand Isle County,2014,Primary,Grand Isle County,Democratic,Local Election
67405,2014 High Bailiff Democratic Primary Windsor County,2014,Primary,Windsor County,Democratic,Local Election
67406,2014 High Bailiff Democratic Primary Bennington County,2014,Primary,Bennington County,Democratic,Local Election
67407,2014 High Bailiff Democratic Primary Windham County,2014,Primary,Windham County,Democratic,Local Election
67408,2014 High Bailiff Democratic Primary Franklin County,2014,Primary,Franklin County,Democratic,Local Election
67409,2014 High Bailiff Democratic Primary Caledonia County,2014,Primary,Caledonia County,Democratic,Local Election
67410,2014 High Bailiff Democratic Primary Washington County,2014,Primary,Washington County,Democratic,Local Election
67411,2014 High Bailiff Democratic Primary Lamoille County,2014,Primary,Lamoille County,Democratic,Local Election
67412,2014 High Bailiff Democratic Primary Rutland County,2014,Primary,Rutland County,Democratic,Local Election
67413,2014 High Bailiff Democratic Primary Essex County,2014,Primary,Essex County,Democratic,Local Election
67414,2014 High Bailiff Democratic Primary Chittenden County,2014,Primary,Chittenden County,Democratic,Local Election
67415,2014 High Bailiff Democratic Primary Orange County,2014,Primary,Orange County,Democratic,Local Election
67416,2014 High Bailiff Liberty Union Primary Addison County,2014,Primary,Addison County,Liberty Union,Local Election
67417,2014 High Bailiff Liberty Union Primary Orleans County,2014,Primary,Orleans County,Liberty Union,Local Election
67418,2014 High Bailiff Liberty Union Primary Grand Isle County,2014,Primary,Grand Isle County,Liberty Union,Local Election
67419,2014 High Bailiff Liberty Union Primary Windsor County,2014,Primary,Windsor County,Liberty Union,Local Election
67420,2014 High Bailiff Liberty Union Primary Bennington County,2014,Primary,Bennington County,Liberty Union,Local Election
67421,2014 High Bailiff Liberty Union Primary Windham County,2014,Primary,Windham County,Liberty Union,Local Election
67422,2014 High Bailiff Liberty Union Primary Franklin County,2014,Primary,Franklin County,Liberty Union,Local Election
67423,2014 High Bailiff Liberty Union Primary Caledonia County,2014,Primary,Caledonia County,Liberty Union,Local Election
67424,2014 High Bailiff Liberty Union Primary Washington County,2014,Primary,Washington County,Liberty Union,Local Election
67425,2014 High Bailiff Liberty Union Primary Lamoille County,2014,Primary,Lamoille County,Liberty Union,Local Election
67426,2014 High Bailiff Liberty Union Primary Rutland County,2014,Primary,Rutland County,Liberty Union,Local Election
67427,2014 High Bailiff Liberty Union Primary Essex County,2014,Primary,Essex County,Liberty Union,Local Election
67428,2014 High Bailiff Liberty Union Primary Chittenden County,2014,Primary,Chittenden County,Liberty Union,Local Election
67429,2014 High Bailiff Liberty Union Primary Orange County,2014,Primary,Orange County,Liberty Union,Local Election
67430,2014 High Bailiff Progressive Primary Addison County,2014,Primary,Addison County,Progressive,Local Election
67431,2014 High Bailiff Progressive Primary Orleans County,2014,Primary,Orleans County,Progressive,Local Election
67432,2014 High Bailiff Progressive Primary Grand Isle County,2014,Primary,Grand Isle County,Progressive,Local Election
67433,2014 High Bailiff Progressive Primary Windsor County,2014,Primary,Windsor County,Progressive,Local Election
67434,2014 High Bailiff Progressive Primary Bennington County,2014,Primary,Bennington County,Progressive,Local Election
67435,2014 High Bailiff Progressive Primary Windham County,2014,Primary,Windham County,Progressive,Local Election
67436,2014 High Bailiff Progressive Primary Franklin County,2014,Primary,Franklin County,Progressive,Local Election
67437,2014 High Bailiff Progressive Primary Caledonia County,2014,Primary,Caledonia County,Progressive,Local Election
67438,2014 High Bailiff Progressive Primary Washington County,2014,Primary,Washington County,Progressive,Local Election
67439,2014 High Bailiff Progressive Primary Lamoille County,2014,Primary,Lamoille County,Progressive,Local Election
67440,2014 High Bailiff Progressive Primary Rutland County,2014,Primary,Rutland County,Progressive,Local Election
67441,2014 High Bailiff Progressive Primary Essex County,2014,Primary,Essex County,Progressive,Local Election
67442,2014 High Bailiff Progressive Primary Chittenden County,2014,Primary,Chittenden County,Progressive,Local Election
67443,2014 High Bailiff Progressive Primary Orange County,2014,Primary,Orange County,Progressive,Local Election
67444,2014 High Bailiff Republican Primary Addison County,2014,Primary,Addison County,Republican,Local Election
67445,2014 High Bailiff Republican Primary Orleans County,2014,Primary,Orleans County,Republican,Local Election
67446,2014 High Bailiff Republican Primary Grand Isle County,2014,Primary,Grand Isle County,Republican,Local Election
67447,2014 High Bailiff Republican Primary Windsor County,2014,Primary,Windsor County,Republican,Local Election
67448,2014 High Bailiff Republican Primary Bennington County,2014,Primary,Bennington County,Republican,Local Election
67449,2014 High Bailiff Republican Primary Windham County,2014,Primary,Windham County,Republican,Local Election
67450,2014 High Bailiff Republican Primary Franklin County,2014,Primary,Franklin County,Republican,Local Election
67451,2014 High Bailiff Republican Primary Caledonia County,2014,Primary,Caledonia County,Republican,Local Election
67452,2014 High Bailiff Republican Primary Washington County,2014,Primary,Washington County,Republican,Local Election
67453,2014 High Bailiff Republican Primary Lamoille County,2014,Primary,Lamoille County,Republican,Local Election
67454,2014 High Bailiff Republican Primary Rutland County,2014,Primary,Rutland County,Republican,Local Election
67455,2014 High Bailiff Republican Primary Essex County,2014,Primary,Essex County,Republican,Local Election
67456,2014 High Bailiff Republican Primary Chittenden County,2014,Primary,Chittenden County,Republican,Local Election
67457,2014 High Bailiff Republican Primary Orange County,2014,Primary,Orange County,Republican,Local Election
67459,2014 Lieutenant Governor Liberty Union Primary,2014,Primary,,Liberty Union,Lieutenant Governor
67460,2014 Lieutenant Governor Progressive Primary,2014,Primary,,Progressive,Lieutenant Governor
67461,2014 Lieutenant Governor Republican Primary,2014,Primary,,Republican,Lieutenant Governor
67462,2014 Probate Judge Democratic Primary Addison County,2014,Primary,Addison County,Democratic,Local Election
67463,2014 Probate Judge Democratic Primary Orleans County,2014,Primary,Orleans County,Democratic,Local Election
67464,2014 Probate Judge Democratic Primary Grand Isle County,2014,Primary,Grand Isle County,Democratic,Local Election
67465,2014 Probate Judge Democratic Primary Windsor County,2014,Primary,Windsor County,Democratic,Local Election
67466,2014 Probate Judge Democratic Primary Bennington County,2014,Primary,Bennington County,Democratic,Local Election
67467,2014 Probate Judge Democratic Primary Windham County,2014,Primary,Windham County,Democratic,Local Election
67468,2014 Probate Judge Democratic Primary Franklin County,2014,Primary,Franklin County,Democratic,Local Election
67469,2014 Probate Judge Democratic Primary Caledonia County,2014,Primary,Caledonia County,Democratic,Local Election
67470,2014 Probate Judge Democratic Primary Washington County,2014,Primary,Washington County,Democratic,Local Election
67471,2014 Probate Judge Democratic Primary Lamoille County,2014,Primary,Lamoille County,Democratic,Local Election
67472,2014 Probate Judge Democratic Primary Rutland County,2014,Primary,Rutland County,Democratic,Local Election
67473,2014 Probate Judge Democratic Primary Essex County,2014,Primary,Essex County,Democratic,Local Election
67474,2014 Probate Judge Democratic Primary Chittenden County,2014,Primary,Chittenden County,Democratic,Local Election
67475,2014 Probate Judge Democratic Primary Orange County,2014,Primary,Orange County,Democratic,Local Election
67476,2014 Probate Judge Liberty Union Primary Addison County,2014,Primary,Addison County,Liberty Union,Local Election
67477,2014 Probate Judge Liberty Union Primary Orleans County,2014,Primary,Orleans County,Liberty Union,Local Election
67478,2014 Probate Judge Liberty Union Primary Grand Isle County,2014,Primary,Grand Isle County,Liberty Union,Local Election
67479,2014 Probate Judge Liberty Union Primary Windsor County,2014,Primary,Windsor County,Liberty Union,Local Election
67480,2014 Probate Judge Liberty Union Primary Bennington County,2014,Primary,Bennington County,Liberty Union,Local Election
67481,2014 Probate Judge Liberty Union Primary Windham County,2014,Primary,Windham County,Liberty Union,Local Election
67482,2014 Probate Judge Liberty Union Primary Franklin County,2014,Primary,Franklin County,Liberty Union,Local Election
67483,2014 Probate Judge Liberty Union Primary Caledonia County,2014,Primary,Caledonia County,Liberty Union,Local Election
67484,2014 Probate Judge Liberty Union Primary Washington County,2014,Primary,Washington County,Liberty Union,Local Election
67485,2014 Probate Judge Liberty Union Primary Lamoille County,2014,Primary,Lamoille County,Liberty Union,Local Election
67486,2014 Probate Judge Liberty Union Primary Rutland County,2014,Primary,Rutland County,Liberty Union,Local Election
67487,2014 Probate Judge Liberty Union Primary Essex County,2014,Primary,Essex County,Liberty Union,Local Election
67488,2014 Probate Judge Liberty Union Primary Chittenden County,2014,Primary,Chittenden County,Liberty Union,Local Election
67489,2014 Probate Judge Liberty Union Primary Orange County,2014,Primary,Orange County,Liberty Union,Local Election
67490,2014 Probate Judge Progressive Primary Addison County,2014,Primary,Addison County,Progressive,Local Election
67491,2014 Probate Judge Progressive Primary Orleans County,2014,Primary,Orleans County,Progressive,Local Election
67492,2014 Probate Judge Progressive Primary Grand Isle County,2014,Primary,Grand Isle County,Progressive,Local Election
67493,2014 Probate Judge Progressive Primary Windsor County,2014,Primary,Windsor County,Progressive,Local Election
67494,2014 Probate Judge Progressive Primary Bennington County,2014,Primary,Bennington County,Progressive,Local Election
67495,2014 Probate Judge Progressive Primary Windham County,2014,Primary,Windham County,Progressive,Local Election
67496,2014 Probate Judge Progressive Primary Franklin County,2014,Primary,Franklin County,Progressive,Local Election
67497,2014 Probate Judge Progressive Primary Caledonia County,2014,Primary,Caledonia County,Progressive,Local Election
67498,2014 Probate Judge Progressive Primary Washington County,2014,Primary,Washington County,Progressive,Local Election
67499,2014 Probate Judge Progressive Primary Lamoille County,2014,Primary,Lamoille County,Progressive,Local Election
67500,2014 Probate Judge Progressive Primary Rutland County,2014,Primary,Rutland County,Progressive,Local Election
67501,2014 Probate Judge Progressive Primary Essex County,2014,Primary,Essex County,Progressive,Local Election
67502,2014 Probate Judge Progressive Primary Chittenden County,2014,Primary,Chittenden County,Progressive,Local Election
67503,2014 Probate Judge Progressive Primary Orange County,2014,Primary,Orange County,Progressive,Local Election
67504,2014 Probate Judge Republican Primary Addison County,2014,Primary,Addison County,Republican,Local Election
67505,2014 Probate Judge Republican Primary Orleans County,2014,Primary,Orleans County,Republican,Local Election
67506,2014 Probate Judge Republican Primary Grand Isle County,2014,Primary,Grand Isle County,Republican,Local Election
67507,2014 Probate Judge Republican Primary Windsor County,2014,Primary,Windsor County,Republican,Local Election
67508,2014 Probate Judge Republican Primary Bennington County,2014,Primary,Bennington County,Republican,Local Election
67509,2014 Probate Judge Republican Primary Windham County,2014,Primary,Windham County,Republican,Local Election
67510,2014 Probate Judge Republican Primary Franklin County,2014,Primary,Franklin County,Republican,Local Election
67511,2014 Probate Judge Republican Primary Caledonia County,2014,Primary,Caledonia County,Republican,Local Election
67512,2014 Probate Judge Republican Primary Washington County,2014,Primary,Washington County,Republican,Local Election
67513,2014 Probate Judge Republican Primary Lamoille County,2014,Primary,Lamoille County,Republican,Local Election
67514,2014 Probate Judge Republican Primary Rutland County,2014,Primary,Rutland County,Republican,Local Election
67515,2014 Probate Judge Republican Primary Essex County,2014,Primary,Essex County,Republican,Local Election
67516,2014 Probate Judge Republican Primary Chittenden County,2014,Primary,Chittenden County,Republican,Local Election
67517,2014 Probate Judge Republican Primary Orange County,2014,Primary,Orange County,Republican,Local Election
67518,2014 U.S. House Democratic Primary,2014,Primary,,Democratic,U.S. House
67519,2014 U.S. House Liberty Union Primary,2014,Primary,,Liberty Union,U.S. House
67520,2014 U.S. House Progressive Primary,2014,Primary,,Progressive,U.S. House
67521,2014 U.S. House Republican Primary,2014,Primary,,Republican,U.S. House
67522,2014 Secretary of State Democratic Primary,2014,Primary,,Democratic,Secretary of State
67523,2014 Secretary of State Liberty Union Primary,2014,Primary,,Liberty Union,Secretary of State
67524,2014 Secretary of State Progressive Primary,2014,Primary,,Progressive,Secretary of State
67525,2014 Secretary of State Republican Primary,2014,Primary,,Republican,Secretary of State
67526,2014 Sheriff Democratic Primary Addison County,2014,Primary,Addison County,Democratic,Local Election
67527,2014 Sheriff Democratic Primary Orleans County,2014,Primary,Orleans County,Democratic,Local Election
67528,2014 Sheriff Democratic Primary Grand Isle County,2014,Primary,Grand Isle County,Democratic,Local Election
67529,2014 Sheriff Democratic Primary Windsor County,2014,Primary,Windsor County,Democratic,Local Election
67530,2014 Sheriff Democratic Primary Bennington County,2014,Primary,Bennington County,Democratic,Local Election
67531,2014 Sheriff Democratic Primary Windham County,2014,Primary,Windham County,Democratic,Local Election
67532,2014 Sheriff Democratic Primary Franklin County,2014,Primary,Franklin County,Democratic,Local Election
67533,2014 Sheriff Democratic Primary Caledonia County,2014,Primary,Caledonia County,Democratic,Local Election
67534,2014 Sheriff Democratic Primary Washington County,2014,Primary,Washington County,Democratic,Local Election
67535,2014 Sheriff Democratic Primary Lamoille County,2014,Primary,Lamoille County,Democratic,Local Election
67536,2014 Sheriff Democratic Primary Rutland County,2014,Primary,Rutland County,Democratic,Local Election
67537,2014 Sheriff Democratic Primary Essex County,2014,Primary,Essex County,Democratic,Local Election
67538,2014 Sheriff Democratic Primary Chittenden County,2014,Primary,Chittenden County,Democratic,Local Election
67539,2014 Sheriff Democratic Primary Orange County,2014,Primary,Orange County,Democratic,Local Election
67540,2014 Sheriff Liberty Union Primary Addison County,2014,Primary,Addison County,Liberty Union,Local Election
67541,2014 Sheriff Liberty Union Primary Orleans County,2014,Primary,Orleans County,Liberty Union,Local Election
67542,2014 Sheriff Liberty Union Primary Grand Isle County,2014,Primary,Grand Isle County,Liberty Union,Local Election
67543,2014 Sheriff Liberty Union Primary Windsor County,2014,Primary,Windsor County,Liberty Union,Local Election
67544,2014 Sheriff Liberty Union Primary Bennington County,2014,Primary,Bennington County,Liberty Union,Local Election
67545,2014 Sheriff Liberty Union Primary Windham County,2014,Primary,Windham County,Liberty Union,Local Election
67546,2014 Sheriff Liberty Union Primary Franklin County,2014,Primary,Franklin County,Liberty Union,Local Election
67547,2014 Sheriff Liberty Union Primary Caledonia County,2014,Primary,Caledonia County,Liberty Union,Local Election
67548,2014 Sheriff Liberty Union Primary Washington County,2014,Primary,Washington County,Liberty Union,Local Election
67549,2014 Sheriff Liberty Union Primary Lamoille County,2014,Primary,Lamoille County,Liberty Union,Local Election
67550,2014 Sheriff Liberty Union Primary Rutland County,2014,Primary,Rutland County,Liberty Union,Local Election
67551,2014 Sheriff Liberty Union Primary Essex County,2014,Primary,Essex County,Liberty Union,Local Election
67552,2014 Sheriff Liberty Union Primary Chittenden County,2014,Primary,Chittenden County,Liberty Union,Local Election
67553,2014 Sheriff Liberty Union Primary Orange County,2014,Primary,Orange County,Liberty Union,Local Election
67554,2014 Sheriff Progressive Primary Addison County,2014,Primary,Addison County,Progressive,Local Election
67555,2014 Sheriff Progressive Primary Orleans County,2014,Primary,Orleans County,Progressive,Local Election
67556,2014 Sheriff Progressive Primary Grand Isle County,2014,Primary,Grand Isle County,Progressive,Local Election
67557,2014 Sheriff Progressive Primary Windsor County,2014,Primary,Windsor County,Progressive,Local Election
67558,2014 Sheriff Progressive Primary Bennington County,2014,Primary,Bennington County,Progressive,Local Election
67559,2014 Sheriff Progressive Primary Windham County,2014,Primary,Windham County,Progressive,Local Election
67560,2014 Sheriff Progressive Primary Franklin County,2014,Primary,Franklin County,Progressive,Local Election
67561,2014 Sheriff Progressive Primary Caledonia County,2014,Primary,Caledonia County,Progressive,Local Election
67562,2014 Sheriff Progressive Primary Washington County,2014,Primary,Washington County,Progressive,Local Election
67563,2014 Sheriff Progressive Primary Lamoille County,2014,Primary,Lamoille County,Progressive,Local Election
67564,2014 Sheriff Progressive Primary Rutland County,2014,Primary,Rutland County,Progressive,Local Election
67565,2014 Sheriff Progressive Primary Essex County,2014,Primary,Essex County,Progressive,Local Election
67566,2014 Sheriff Progressive Primary Chittenden County,2014,Primary,Chittenden County,Progressive,Local Election
67567,2014 Sheriff Progressive Primary Orange County,2014,Primary,Orange County,Progressive,Local Election
67568,2014 Sheriff Republican Primary Addison County,2014,Primary,Addison County,Republican,Local Election
67569,2014 Sheriff Republican Primary Orleans County,2014,Primary,Orleans County,Republican,Local Election
67570,2014 Sheriff Republican Primary Grand Isle County,2014,Primary,Grand Isle County,Republican,Local Election
67571,2014 Sheriff Republican Primary Windsor County,2014,Primary,Windsor County,Republican,Local Election
67572,2014 Sheriff Republican Primary Bennington County,2014,Primary,Bennington County,Republican,Local Election
67573,2014 Sheriff Republican Primary Windham County,2014,Primary,Windham County,Republican,Local Election
67574,2014 Sheriff Republican Primary Franklin County,2014,Primary,Franklin County,Republican,Local Election
67575,2014 Sheriff Republican Primary Caledonia County,2014,Primary,Caledonia County,Republican,Local Election
67576,2014 Sheriff Republican Primary Washington County,2014,Primary,Washington County,Republican,Local Election
67577,2014 Sheriff Republican Primary Lamoille County,2014,Primary,Lamoille County,Republican,Local Election
67578,2014 Sheriff Republican Primary Rutland County,2014,Primary,Rutland County,Republican,Local Election
67579,2014 Sheriff Republican Primary Essex County,2014,Primary,Essex County,Republican,Local Election
67580,2014 Sheriff Republican Primary Chittenden County,2014,Primary,Chittenden County,Republican,Local Election
67581,2014 Sheriff Republican Primary Orange County,2014,Primary,Orange County,Republican,Local Election
67582,2014 State Representative Democratic Primary Addison 3 District,2014,Primary,Addison 3,Democratic,State Representative
67583,2014 State Representative Democratic Primary Orleans-Caledonia District,2014,Primary,Orleans-Caledonia,Democratic,State Representative
67584,2014 State Representative Democratic Primary Grand Isle-Chittenden District,2014,Primary,Grand Isle-Chittenden,Democratic,State Representative
67585,2014 State Representative Democratic Primary Windsor 3-1 District,2014,Primary,Windsor 3-1,Democratic,State Representative
67586,2014 State Representative Democratic Primary Bennington 4 District,2014,Primary,Bennington 4,Democratic,State Representative
67587,2014 State Representative Democratic Primary Windham 3 District,2014,Primary,Windham 3,Democratic,State Representative
67588,2014 State Representative Democratic Primary Franklin 6 District,2014,Primary,Franklin 6,Democratic,State Representative
67589,2014 State Representative Democratic Primary Windsor 4-1 District,2014,Primary,Windsor 4-1,Democratic,State Representative
67590,2014 State Representative Democratic Primary Caledonia 1 District,2014,Primary,Caledonia 1,Democratic,State Representative
67591,2014 State Representative Democratic Primary Washington 3 District,2014,Primary,Washington 3,Democratic,State Representative
67592,2014 State Representative Democratic Primary Washington 2 District,2014,Primary,Washington 2,Democratic,State Representative
67593,2014 State Representative Democratic Primary Lamoille 2 District,2014,Primary,Lamoille 2,Democratic,State Representative
67594,2014 State Representative Democratic Primary Bennington 2-1 District,2014,Primary,Bennington 2-1,Democratic,State Representative
67595,2014 State Representative Democratic Primary Bennington 2-2 District,2014,Primary,Bennington 2-2,Democratic,State Representative
67596,2014 State Representative Democratic Primary Addison-Rutland District,2014,Primary,Addison-Rutland,Democratic,State Representative
67597,2014 State Representative Democratic Primary Franklin 5 District,2014,Primary,Franklin 5,Democratic,State Representative
67598,2014 State Representative Democratic Primary Washington 1 District,2014,Primary,Washington 1,Democratic,State Representative
67599,2014 State Representative Democratic Primary Windsor-Rutland District,2014,Primary,Windsor-Rutland,Democratic,State Representative
67600,2014 State Representative Democratic Primary Essex-Caledonia-Orleans District,2014,Primary,Essex-Caledonia-Orleans,Democratic,State Representative
67601,2014 State Representative Democratic Primary Washington-Chittenden District,2014,Primary,Washington-Chittenden,Democratic,State Representative
67602,2014 State Representative Democratic Primary Orange 2 District,2014,Primary,Orange 2,Democratic,State Representative
67603,2014 State Representative Democratic Primary Orange-Washington-Addison District,2014,Primary,Orange-Washington-Addison,Democratic,State Representative
67604,2014 State Representative Democratic Primary Rutland 6 District,2014,Primary,Rutland 6,Democratic,State Representative
67605,2014 State Representative Democratic Primary Windham 2-1 District,2014,Primary,Windham 2-1,Democratic,State Representative
67606,2014 State Representative Democratic Primary Windham 2-2 District,2014,Primary,Windham 2-2,Democratic,State Representative
67607,2014 State Representative Democratic Primary Windham 2-3 District,2014,Primary,Windham 2-3,Democratic,State Representative
67608,2014 State Representative Democratic Primary Rutland-Windsor 1 District,2014,Primary,Rutland-Windsor 1,Democratic,State Representative
67609,2014 State Representative Democratic Primary Addison 5 District,2014,Primary,Addison 5,Democratic,State Representative
67610,2014 State Representative Democratic Primary Addison 4 District,2014,Primary,Addison 4,Democratic,State Representative
67611,2014 State Representative Democratic Primary Orleans 1 District,2014,Primary,Orleans 1,Democratic,State Representative
67612,2014 State Representative Democratic Primary Essex-Caledonia District,2014,Primary,Essex-Caledonia,Democratic,State Representative
67613,2014 State Representative Democratic Primary Caledonia 4 District,2014,Primary,Caledonia 4,Democratic,State Representative
67614,2014 State Representative Democratic Primary Chittenden 6-1 District,2014,Primary,Chittenden 6-1,Democratic,State Representative
67615,2014 State Representative Democratic Primary Chittenden 6-2 District,2014,Primary,Chittenden 6-2,Democratic,State Representative
67616,2014 State Representative Democratic Primary Chittenden 6-3 District,2014,Primary,Chittenden 6-3,Democratic,State Representative
67617,2014 State Representative Democratic Primary Chittenden 6-4 District,2014,Primary,Chittenden 6-4,Democratic,State Representative
67618,2014 State Representative Democratic Primary Chittenden 6-5 District,2014,Primary,Chittenden 6-5,Democratic,State Representative
67619,2014 State Representative Democratic Primary Chittenden 6-6 District,2014,Primary,Chittenden 6-6,Democratic,State Representative
67620,2014 State Representative Democratic Primary Chittenden 6-7 District,2014,Primary,Chittenden 6-7,Democratic,State Representative
67621,2014 State Representative Democratic Primary Caledonia-Washington District,2014,Primary,Caledonia-Washington,Democratic,State Representative
67622,2014 State Representative Democratic Primary Washington 6 District,2014,Primary,Washington 6,Democratic,State Representative
67623,2014 State Representative Democratic Primary Lamoille 3 District,2014,Primary,Lamoille 3,Democratic,State Representative
