county,town
Rutland,SHREWSBURY
Chittenden,SOUTH BURLINGTON
Grand Isle,SOUTH HERO
Windsor,SPRINGFIELD
Bennington,STAMFORD
Caledonia,STANNARD
Addison,STARKSBORO
Windsor,STOCKBRIDGE
Lamoille,STOWE
Orange,STRAFFORD
Windham,STRATTON
Rutland,SUDBURY
Bennington,SUNDERLAND
Caledonia,SUTTON
Franklin,SWANTON
Orange,THETFORD
Rutland,TINMOUTH
Orange,TOPSHAM
Windham,TOWNSHEND
Orleans,TROY
Orange,TUNBRIDGE
Chittenden,UNDERHILL
Addison,VERGENNES
Windham,VERNON
Orange,VERSHIRE
Essex,VICTORY
Washington,WAITSFIELD
Caledonia,WALDEN
Rutland,WALLINGFORD
Addison,WALTHAM
Windham,WARDSBORO
Washington,WARREN
Orange,WASHINGTON
Washington,WATERBURY
Caledonia,WATERFORD
Lamoille,WATERVILLE
Windsor,WEATHERSFIELD
Rutland,WELLS
Orange,WEST FAIRLEE
Rutland,WEST HAVEN
Rutland,WEST RUTLAND
Windsor,WEST WINDSOR
Orleans,WESTFIELD
Chittenden,WESTFORD
Windham,WESTMINSTER
Orleans,WESTMORE
Windsor,WESTON
Addison,WEYBRIDGE
Caledonia,WHEELOCK
Addison,WHITING
Windham,WHITINGHAM
Orange,WILLIAMSTOWN
Chittenden,WILLISTON
Windham,WILMINGTON
Windham,WINDHAM
Windsor,WINDSOR
Bennington,WINHALL
Chittenden,WINOOSKI
Lamoille,WOLCOTT
Washington,WOODBURY
Bennington,WOODFORD
Windsor,WOODSTOCK
Washington,WORCESTER
Rutland,SHERBURNE
