City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
Fairfax,,,134,1,29,164
Fairfield,,,95,1,26,122
Fairlee,,,31,0,4,35
Fayston,,,51,0,8,59
Ferrisburgh,,,120,0,16,136
Fletcher,,,47,0,9,56
Franklin,,,76,3,19,98
Georgia,,,166,1,28,195
Glover,,,90,1,17,108
Goshen,,,24,0,3,27
Grafton,,,37,1,1,39
Granby,,,15,0,6,21
"Grand Isle",,,113,1,20,134
Granville,,,11,0,0,11
Greensboro,,,43,0,6,49
Groton,,,73,0,11,84
Guildhall,,,34,0,15,49
Guilford,,,45,0,2,47
Halifax,,,21,0,6,27
Hancock,,,13,0,4,17
Hardwick,,,87,1,17,105
Hartford,-,"Windsor 6-1",64,1,12,77
Hartford,-,"Windsor 6-2",169,0,24,193
Hartland,,,118,1,29,148
Highgate,,,121,1,22,144
Hinesburg,-,"Chittenden 1-1",131,1,26,158
Hinesburg,-,"Chittenden 1-2",6,0,0,6
Holland,,,30,0,4,34
Hubbardton,,,22,0,5,27
Huntington,,,55,0,16,71
"Hyde Park",,,139,0,28,167
Ira,-,"Rutland 1-1",4,0,2,6
Ira,-,"Rutland 1-2",33,0,5,38
Irasburg,,,53,0,13,66
"Isle La Motte",,,21,0,8,29
Jamaica,,,47,0,12,59
Jay,,,14,0,4,18
Jericho,,,239,3,42,284
Johnson,,,80,0,10,90
Killington,,,87,0,14,101
Kirby,,,31,0,2,33
Landgrove,,,9,0,1,10
Leicester,,,43,0,10,53
Lemington,,,8,0,2,10
Lincoln,,,62,0,9,71
Londonderry,,,89,0,18,107
Lowell,,,27,0,11,38
Ludlow,,,65,0,19,84
Lunenburg,,,148,1,34,183
Lyndon,,,229,0,25,254
Maidstone,,,28,0,9,37
Manchester,,,173,2,23,198
Marlboro,,,21,0,1,22
Marshfield,,,68,0,18,86
Mendon,,,104,2,18,124
Middlebury,,,155,0,29,184
Middlesex,,,78,1,25,104
"Middletown Springs",,,37,0,5,42
Milton,-,"Chittenden 9",390,0,86,476
Milton,-,"Grand Isle-Chittenden 1-1",65,0,14,79
Monkton,,,52,0,8,60
Montgomery,,,29,0,8,37
Montpelier,,,317,0,65,382
Moretown,,,107,0,22,129
Morgan,,,58,0,9,67
Morristown,,,242,2,41,285
"Mount Holly",,,82,0,14,96
"Mount Tabor",,,9,0,1,10
"New Haven",,,94,1,14,109
Newark,,,34,0,3,37
Newbury,,,113,0,21,134
Newfane,,,35,0,8,43
"Newport City",,,173,1,24,198
"Newport Town",,,56,0,13,69
"N. Hero",,,61,0,6,67
Northfield,,,238,1,47,286
Norton,,,15,1,1,17
Norwich,,,53,0,8,61
Orange,,,76,2,15,93
Orwell,,,133,0,29,162
Panton,,,43,0,3,46
Pawlet,,,58,0,6,64
Peacham,,,38,0,9,47
Peru,,,20,0,2,22
Pittsfield,,,36,1,8,45
Pittsford,,,188,1,37,226
Plainfield,,,54,0,12,66
Plymouth,,,32,1,12,45
Pomfret,,,42,0,2,44
Poultney,,,114,1,24,139
Pownal,,,70,0,20,90
Proctor,,,130,0,20,150
Putney,,,36,0,9,45
Randolph,,,281,3,39,323
Reading,,,24,0,5,29
Readsboro,,,24,0,6,30
Richford,,,62,1,5,68
Richmond,,,145,2,28,175
Ripton,,,12,0,1,13
Rochester,,,62,3,11,76
Rockingham,,,179,1,21,201
Roxbury,,,25,0,0,25
Royalton,,,79,0,22,101
Rupert,-,"Bennington 5",5,0,2,7
Rupert,-,"Rutland 8",15,0,3,18
"Rutland City",-,"Rutland 5-1",258,7,82,347
"Rutland City",-,"Rutland 5-2",199,0,43,242
"Rutland City",-,"Rutland 5-3",101,2,28,131
"Rutland City",-,"Rutland 5-4",177,2,29,208
"Rutland Town",,,329,3,62,394
Ryegate,,,57,0,6,63
Salisbury,,,38,0,7,45
Sandgate,,,21,0,4,25
Searsburg,,,9,0,1,10
Shaftsbury,,,107,2,24,133
Sharon,,,39,0,6,45
Sheffield,,,30,1,4,35
Shelburne,-,"Chittenden 5-1",224,0,49,273
Shelburne,-,"Chittenden 5-2",169,1,18,188
Sheldon,,,95,3,10,108
Shoreham,,,71,1,14,86
Shrewsbury,,,63,1,12,76
"S. Burlington",-,"Chittenden 3-10",147,2,26,175
"S. Burlington",-,"Chittenden 3-7",136,1,22,159
"S. Burlington",-,"Chittenden 3-8",215,4,25,244
"S. Burlington",-,"Chittenden 3-9",180,4,30,214
"S. Hero",,,100,0,21,121
Springfield,-,"Windsor 1-1",6,0,1,7
Springfield,-,"Windsor 1-2",342,5,46,393
"St. Albans City",,,263,14,29,306
"St. Albans Town",,,443,16,61,520
"St. George",,,16,0,6,22
"St. Johnsbury",,,422,0,35,457
Stamford,,,25,0,6,31
Stannard,,,13,0,0,13
Starksboro,,,82,0,23,105
Stockbridge,,,35,0,3,38
Stowe,,,196,1,29,226
Strafford,,,30,1,8,39
Stratton,,,16,0,1,17
Sudbury,,,29,0,8,37
Sunderland,,,28,0,8,36
Sutton,,,43,0,8,51
Swanton,,,336,6,42,384
Thetford,,,56,0,8,64
Tinmouth,,,26,0,9,35
Topsham,,,69,0,10,79
Townshend,,,41,0,6,47
Troy,,,45,0,6,51
Tunbridge,,,70,2,13,85
Underhill,,,124,0,21,145
Vergennes,,,122,0,15,137
Vernon,,,156,0,28,184
Vershire,,,18,0,4,22
Victory,,,10,0,0,10
Waitsfield,,,84,0,10,94
Walden,,,45,0,13,58
Wallingford,,,114,0,25,139
Waltham,,,16,0,2,18
Wardsboro,,,25,0,2,27
Warren,,,51,0,12,63
Washington,,,35,0,6,41
Waterbury,,,198,3,59,260
Waterford,,,90,0,2,92
Waterville,,,43,0,4,47
Weathersfield,,,102,1,14,117
Wells,,,40,0,7,47
"W. Fairlee",,,22,0,6,28
"W. Haven",,,16,0,1,17
"W. Rutland",,,122,1,22,145
"W. Windsor",,,45,2,6,53
Westfield,,,27,2,4,33
Westford,,,152,1,43,196
Westminster,-,"Windham 4",5,0,0,5
Westminster,-,"Windham 5",61,0,3,64
Westmore,,,16,0,2,18
Weston,,,33,0,7,40
Weybridge,,,42,0,5,47
Wheelock,,,50,2,4,56
Whiting,,,22,0,3,25
Whitingham,,,32,0,7,39
Williamstown,,,133,5,20,158
Williston,,,381,2,78,461
Wilmington,,,56,0,8,64
Windham,,,10,0,2,12
Windsor,,,84,0,5,89
Winhall,,,38,0,10,48
Winooski,,,127,1,34,162
Wolcott,,,60,1,12,73
Woodbury,,,63,0,13,76
Woodford,,,9,0,3,12
Woodstock,,,156,2,26,184
Worcester,,,41,1,10,52
TOTALS,,,"25,333",214,"4,486","30,033"
