City/Town,Ward,Pct,"William H. Sorrell","Dennis Carver","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
"St. Albans City",,,"1,667",491,45,3,0,"2,206"
"St. Albans Town",,,"1,616",614,54,0,0,"2,284"
"St. George",,,186,65,5,0,0,256
"St. Johnsbury",,,"1,497",838,77,4,0,"2,416"
Stamford,,,177,98,14,0,0,289
Stannard,,,72,28,5,0,0,105
Starksboro,,,561,154,28,0,0,743
Stockbridge,,,196,102,9,0,0,307
Stowe,,,"1,472",666,47,2,0,"2,187"
Strafford,,,435,114,31,0,0,580
Stratton,,,37,55,3,0,0,95
Sudbury,,,199,74,8,0,0,281
Sunderland,,,236,102,35,0,0,373
Sutton,,,195,163,18,0,0,376
Swanton,,,"1,587",563,50,0,0,"2,200"
Thetford,,,927,269,35,0,0,"1,231"
Tinmouth,,,167,98,7,0,0,272
Topsham,,,211,205,10,0,0,426
Townshend,,,345,172,25,0,0,542
Troy,,,328,149,26,0,0,503
Tunbridge,,,383,184,19,1,0,587
Underhill,,,"1,243",358,33,0,0,"1,634"
Vergennes,,,711,234,25,0,0,970
Vernon,,,423,353,32,0,0,808
Vershire,,,165,81,18,1,0,265
Victory,,,29,13,4,0,0,46
Waitsfield,,,675,233,16,0,0,924
Walden,,,290,132,14,0,0,436
Wallingford,,,599,351,47,1,0,998
Waltham,,,193,65,3,0,0,261
Wardsboro,,,194,102,16,0,0,312
Warren,,,629,208,34,1,0,872
Washington,,,261,162,13,1,0,437
Waterbury,,,"1,721",489,35,2,0,"2,247"
Waterford,,,303,251,16,0,0,570
Waterville,,,177,84,23,0,0,284
Weathersfield,,,712,414,52,1,0,"1,179"
Wells,,,209,184,32,0,0,425
"W. Fairlee",,,122,92,11,2,0,227
"W. Haven",,,57,49,4,0,0,110
"W. Rutland",,,499,276,61,0,0,836
"W. Windsor",,,347,180,20,0,0,547
Westfield,,,173,65,12,0,0,250
Westford,,,681,204,19,5,0,909
Westminster,-,"Windham 4",57,13,4,0,0,74
Westminster,-,"Windham 5",943,214,54,1,0,"1,212"
Westmore,,,126,49,3,1,0,179
Weston,,,212,121,18,0,0,351
Weybridge,,,376,98,8,0,0,482
Wheelock,,,165,102,11,0,0,278
Whiting,,,137,48,6,0,0,191
Whitingham,,,233,199,41,0,0,473
Williamstown,,,798,449,36,0,0,"1,283"
Williston,,,"3,114",29,65,5,0,"3,213"
Wilmington,,,461,292,83,0,0,836
Windham,,,124,51,9,0,0,184
Windsor,,,830,345,40,0,0,"1,215"
Winhall,,,210,143,10,1,0,364
Winooski,,,"1,612",321,51,1,0,"1,985"
Wolcott,,,431,195,25,1,0,652
Woodbury,,,280,140,18,2,0,440
Woodford,,,89,35,28,0,0,152
Woodstock,,,"1,078",466,41,1,0,"1,586"
Worcester,,,362,106,19,0,0,487
TOTALS,,,"173,467","67,721","8,773",339,0,"247,300"
